date,value,acc_value,up&down,10,20,30,60,operate
2019-06-12,1.0139,1.0139,0.92,,,,,
2019-06-13,0.9982,0.9982,-1.55,,,,,
2019-06-14,0.9647,0.9647,-3.36,,,,,
2019-06-17,0.9551,0.9551,-1.0,,,,,
2019-06-18,0.945,0.945,-1.06,,,,,
2019-06-19,0.9778,0.9778,3.47,,,,,
2019-06-20,0.9923,0.9923,1.48,,,,,
2019-06-21,1.0123,1.0123,2.02,,,,,
2019-06-24,1.0137,1.0137,0.14,,,,,
2019-06-25,0.9903,0.9903,-2.31,0.98633,,,,
2019-06-26,0.9997,0.9997,0.95,0.98491,,,,
2019-06-27,1.0269,1.0269,2.72,0.98778,,,,
2019-06-28,1.0049,1.0049,-2.14,0.9918,,,,
2019-07-01,1.0485,1.0485,4.34,1.00114,,,,
2019-07-02,1.0322,1.0322,-1.55,1.0098600000000002,,,,
2019-07-03,1.0147,1.0147,-1.7,1.01355,,,,
2019-07-04,1.0013,1.0013,-1.32,1.01445,,,,
2019-07-05,1.0113,1.0113,1.0,1.01435,,,,
2019-07-08,0.968,0.968,-4.28,1.00978,,,,
2019-07-09,0.9727,0.9727,0.49,1.00802,0.997175,,,
2019-07-10,0.9832,0.9832,1.08,1.00637,0.99564,,,
2019-07-11,0.9716,0.9716,-1.18,1.00084,0.99431,,,
2019-07-12,0.97,0.97,-0.16,0.99735,0.994575,,,
2019-07-15,1.0012,1.0012,3.22,0.9926200000000002,0.99688,,,
2019-07-16,1.0061,1.0061,0.49,0.99001,0.999935,,,
2019-07-17,1.0262,1.0262,2.0,0.99116,1.002355,,,
2019-07-18,1.0067,1.0067,-1.9,0.9917,1.003075,,,
2019-07-19,1.0137,1.0137,0.7,0.99194,1.003145,,,
2019-07-22,0.985,0.985,-2.83,0.99364,1.00171,,,
2019-07-23,1.0124,1.0124,2.78,0.99761,1.002815,0.99732,,
2019-07-24,1.0371,1.0371,2.44,1.003,1.0046849999999998,0.9980933333333332,,
2019-07-25,1.0546,1.0546,1.69,1.0113,1.0060699999999998,0.9999733333333332,,
2019-07-26,1.0532,1.0532,-0.13,1.01962,1.008485,1.0029233333333332,,
2019-07-29,1.0676,1.0676,1.37,1.02626,1.00944,1.0066733333333333,,
2019-07-30,1.0527,1.0527,-1.4,1.0309199999999998,1.010465,1.0102633333333333,,
2019-07-31,1.0633,1.0633,1.01,1.03463,1.012895,1.0131133333333333,,
2019-08-01,1.0531,1.0531,-0.96,1.03927,1.015485,1.01514,,
2019-08-02,1.0438,1.0438,-0.88,1.04228,1.01711,1.01619,,
2019-08-05,1.0275,1.0275,-1.56,1.04653,1.020085,1.0166499999999998,,
2019-08-06,0.9992,0.9992,-2.75,1.04521,1.02141,1.0169466666666669,,
2019-08-07,0.9784,0.9784,-2.08,1.03934,1.02117,1.016236666666667,,
2019-08-08,1.0068,1.0068,2.9,1.03456,1.02293,1.0155666666666667,,
2019-08-09,0.9867,0.9867,-2.0,1.02791,1.0237649999999998,1.01496,,
2019-08-12,1.0298,1.0298,4.37,1.02413,1.025195,1.0143366666666669,,
2019-08-13,1.0207,1.0207,-0.88,1.02093,1.025925,1.0139533333333333,,
2019-08-14,1.025,1.025,0.42,1.0171,1.025865,1.0142966666666668,,
2019-08-15,1.0435,1.0435,1.8,1.01614,1.027705,1.0157033333333334,,
2019-08-16,1.0525,1.0525,0.86,1.01701,1.029645,1.0170766666666666,,
2019-08-19,1.0996,1.0996,4.48,1.02422,1.035375,1.0214633333333334,,
2019-08-20,1.0939,1.0939,-0.52,1.03369,1.03945,1.0255033333333334,,
2019-08-21,1.1073,1.1073,1.23,1.04658,1.04296,1.02964,,
2019-08-22,1.1029,1.1029,-0.4,1.05619,1.045375,1.0340166666666666,,
2019-08-23,1.0883,1.0883,-1.32,1.06635,1.04713,1.03796,,
2019-08-26,1.0891,1.0891,0.07,1.07228,1.048205,1.04089,,
2019-08-27,1.1161,1.1161,2.48,1.08182,1.051375,1.0445566666666666,,
2019-08-28,1.1109,1.1109,-0.47,1.09041,1.053755,1.04738,,
2019-08-29,1.1304,1.1304,1.76,1.0991000000000002,1.05762,1.0515033333333332,,
2019-08-30,1.1356,1.1356,0.46,1.1074100000000002,1.06221,1.0555666666666663,,
