date,value,acc_value,up&down,10,20,30,60,operate
2014-01-17,1.0063,1.0063,-0.1,,,,,
2014-01-23,1.0025,1.0025,-0.67,,,,,
2014-01-29,0.9752,0.9752,-0.94,,,,,
2014-01-30,0.9821,0.9821,0.71,,,,,
2014-02-07,0.9882,0.9882,0.62,,,,,
2014-02-10,0.9911,0.9911,0.29,,,,,
2014-02-11,1.0026,1.0026,1.16,,,,,
2014-02-12,1.0033,1.0033,0.07,,,,,
2014-02-28,1.0277,1.0277,0.27,,,,,
2014-03-05,1.0365,1.0365,0.05,1.00155,,,,
2014-03-06,1.0383,1.0383,0.17,1.00475,,,,
2014-03-07,1.0381,1.0381,-0.02,1.0083099999999998,,,,
2014-03-10,1.0394,1.0394,0.13,1.01473,,,,
2014-03-20,1.0395,1.0395,0.82,1.02047,,,,
2014-03-25,1.0354,1.0354,0.42,1.02519,,,,
2014-03-26,1.0282,1.0282,-0.7,1.0289000000000001,,,,
2014-03-27,1.0269,1.0269,-0.13,1.03133,,,,
2014-03-28,1.0321,1.0321,0.51,1.03421,,,,
2014-03-31,1.0406,1.0406,0.82,1.0355,,,,
2014-04-03,1.0497,1.0497,-0.06,1.03682,1.019185,,,
2014-04-09,1.0401,1.0401,1.03,1.0370000000000001,1.020875,,,
2014-04-10,1.0189,1.0189,-2.04,1.0350800000000002,1.0216949999999998,,,
2014-04-11,1.0092,1.0092,-0.95,1.03206,1.023395,,,
2014-04-14,1.0178,1.0178,0.85,1.02989,1.02518,,,
2014-04-15,1.0254,1.0254,0.75,1.02889,1.02704,,,
2014-04-16,1.036,1.036,1.03,1.0296699999999999,1.0292850000000002,,,
2014-04-17,1.0374,1.0374,0.14,1.03072,1.031025,,,
2014-04-18,1.0374,1.0374,0.0,1.03125,1.0327300000000001,,,
2014-04-21,1.0409,1.0409,0.34,1.0312800000000002,1.03339,,,
2014-04-25,1.0361,1.0361,-0.82,1.0299200000000002,1.0333700000000001,1.0227633333333332,,
2014-04-30,1.0474,1.0474,0.34,1.03065,1.033825,1.0241333333333333,,
2014-05-05,1.0473,1.0473,-0.01,1.03349,1.0342850000000001,1.0256266666666667,,
2014-05-08,1.043,1.043,-0.1,1.03687,1.034465,1.0278866666666666,,
2014-05-09,1.045,1.045,0.19,1.03959,1.03474,1.0299833333333333,,
2014-05-12,1.0558,1.0558,1.03,1.04263,1.0357600000000002,1.0322366666666667,,
2014-05-13,1.0566,1.0566,0.08,1.04469,1.03718,1.0344200000000001,,
2014-05-14,1.0521,1.0521,-0.43,1.04616,1.03844,1.03607,,
2014-05-15,1.0421,1.0421,-0.95,1.04663,1.0389399999999998,1.0373633333333332,,
2014-05-16,1.0455,1.0455,0.33,1.04709,1.039185,1.0379566666666666,,
2014-05-19,1.0496,1.0496,0.39,1.04844,1.03918,1.0383933333333333,,
2014-05-20,1.0425,1.0425,-0.68,1.0479500000000002,1.0393000000000001,1.0385333333333333,,
2014-05-21,1.0515,1.0515,0.86,1.04837,1.0409300000000001,1.03898,,
2014-05-22,1.0543,1.0543,0.27,1.0495,1.043185,1.0394766666666666,,
2014-05-23,1.0591,1.0591,0.46,1.05091,1.04525,1.04013,,
2014-05-28,1.0645,1.0645,-0.08,1.0517800000000002,1.047205,1.0411,,
2014-05-29,1.0704,1.0704,0.55,1.05316,1.0489249999999999,1.0425066666666667,,
2014-05-30,1.0722,1.0722,0.17,1.05517,1.050665,1.0440166666666668,,
2014-06-03,1.0728,1.0728,0.06,1.05824,1.052435,1.0453733333333335,,
2014-06-04,1.0747,1.0747,0.18,1.0611599999999999,1.0541250000000002,1.04651,,
2014-06-05,1.082,1.082,0.68,1.0644,1.05642,1.0475866666666667,,
2014-06-06,1.0857,1.0857,0.34,1.06872,1.058335,1.0491066666666666,,
2014-06-09,1.0842,1.0842,-0.14,1.07199,1.0601800000000001,1.0512833333333333,,
2014-06-10,1.0834,1.0834,-0.07,1.0749,1.0622000000000003,1.0537566666666667,,
2014-06-11,1.0806,1.0806,-0.26,1.07705,1.0639800000000001,1.05585,,
2014-06-12,1.0733,1.0733,-0.68,1.0779299999999998,1.064855,1.0574466666666666,,
2014-06-13,1.0764,1.0764,0.29,1.07853,1.065845,1.0587933333333335,,
2014-06-16,1.0778,1.0778,0.13,1.07909,1.0671300000000001,1.06014,,
2014-06-17,1.0793,1.0793,0.14,1.07974,1.0689899999999999,1.0615366666666666,,
2014-06-18,1.0881,1.0881,0.82,1.08108,1.07112,1.0631100000000002,,
2014-06-19,1.0891,1.0891,0.09,1.08179,1.073095,1.0648766666666667,1.04382,
2014-06-20,1.0908,1.0908,0.16,1.0823,1.07551,1.0663233333333335,1.0452283333333332,
2014-06-23,1.0911,1.0911,0.03,1.0829900000000001,1.0774899999999998,1.0677833333333335,1.046705,
2014-06-24,1.0841,1.0841,-0.64,1.0830600000000001,1.07898,1.0691533333333334,1.0485200000000001,
2014-06-25,1.0893,1.0893,0.48,1.08393,1.08049,1.0706300000000002,1.0503066666666667,
2014-06-26,1.0875,1.0875,-0.17,1.08535,1.08164,1.0716866666666667,1.0519616666666667,
2014-06-27,1.0896,1.0896,0.19,1.08667,1.0825999999999998,1.0727866666666666,1.0536033333333334,
2014-06-30,1.0877,1.0877,-0.17,1.0876599999999998,1.083375,1.0739733333333334,1.0550216666666665,
2014-07-01,1.0947,1.0947,0.64,1.0892000000000002,1.08447,1.0757266666666667,1.056545,
2014-07-02,1.0949,1.0949,0.02,1.08988,1.08548,1.0773733333333335,1.057665,
2014-07-03,1.1017,1.1017,0.62,1.09114,1.086465,1.07911,1.0587516666666665,
2014-07-08,1.0908,1.0908,-0.72,1.09114,1.08672,1.08072,1.0596266666666667,
2014-07-09,1.0948,1.0948,0.37,1.09151,1.0872499999999998,1.0821633333333334,1.0605716666666667,
2014-07-10,1.0881,1.0881,-0.61,1.09191,1.0874849999999998,1.08329,1.0613833333333333,
2014-07-11,1.0903,1.0903,0.2,1.09201,1.08797,1.08433,1.06223,
2014-07-14,1.0956,1.0956,0.49,1.0928200000000001,1.0890849999999999,1.0853666666666666,1.0632333333333333,
2014-07-15,1.0935,1.0935,-0.19,1.09321,1.08994,1.0861366666666668,1.0643216666666666,
2014-07-16,1.0989,1.0989,0.49,1.09433,1.090995,1.0870266666666666,1.0655216666666667,
2014-07-17,1.0866,1.0866,-1.12,1.0935199999999998,1.0913599999999999,1.0874866666666667,1.06643,
2014-07-18,1.0976,1.0976,1.01,1.0937899999999998,1.0918349999999999,1.08825,1.06738,
2014-07-21,1.0946,1.0946,-0.27,1.09308,1.09211,1.08867,1.0681283333333333,
2014-07-22,1.1,1.1,0.49,1.0939999999999999,1.0925699999999998,1.0891466666666667,1.0691266666666666,
