date,value,acc_value,up&down,10,20,30,60,operate
2020-04-10,1.031,1.031,-1.51,,,,,
2020-04-13,1.0391,1.0391,0.79,,,,,
2020-04-14,1.0574,1.0574,1.76,,,,,
2020-04-15,1.048,1.048,-0.89,,,,,
2020-04-16,1.0534,1.0534,0.52,,,,,
2020-04-17,1.0448,1.0448,-0.82,,,,,
2020-04-20,1.0638,1.0638,1.82,,,,,
2020-04-21,1.0571,1.0571,-0.63,,,,,
2020-04-22,1.0673,1.0673,0.96,,,,,
2020-04-23,1.0645,1.0645,-0.26,1.0526399999999998,,,,
2020-04-24,1.0483,1.0483,-1.52,1.05437,,,,
2020-04-27,1.0636,1.0636,1.46,1.05682,,,,
2020-04-28,1.0619,1.0619,-0.16,1.0572700000000002,,,,
2020-04-29,1.0463,1.0463,-1.47,1.0571,,,,
2020-04-30,1.0399,1.0399,-0.61,1.0557500000000002,,,,
2020-05-06,1.0599,1.0599,1.92,1.05726,,,,
2020-05-07,1.0632,1.0632,0.31,1.0572,,,,
2020-05-08,1.0722,1.0722,0.85,1.05871,,,,
2020-05-11,1.0632,1.0632,-0.84,1.0583,,,,
2020-05-12,1.0782,1.0782,1.41,1.05967,1.056155,,,
2020-05-13,1.0974,1.0974,1.78,1.06458,1.0594750000000002,,,
2020-05-14,1.0961,1.0961,-0.12,1.06783,1.062325,,,
2020-05-15,1.0893,1.0893,-0.62,1.0705699999999998,1.06392,,,
2020-05-18,1.104,1.104,1.35,1.07634,1.06672,,,
2020-05-19,1.1122,1.1122,0.74,1.08357,1.06966,,,
2020-05-20,1.0995,1.0995,-1.14,1.08753,1.072395,,,
2020-05-21,1.1008,1.1008,0.12,1.09129,1.074245,,,
2020-05-22,1.0692,1.0692,-2.87,1.09099,1.07485,,,
2020-05-25,1.0854,1.0854,1.52,1.09321,1.075755,,,
2020-05-26,1.1116,1.1116,2.41,1.09655,1.07811,1.06962,,
2020-05-27,1.0856,1.0856,-2.34,1.09537,1.079975,1.07144,,
2020-05-28,1.0712,1.0712,-1.33,1.09288,1.080355,1.07251,,
2020-05-29,1.093,1.093,2.04,1.09325,1.08191,1.0736966666666663,,
2020-06-01,1.1066,1.1066,1.24,1.0935099999999998,1.084925,1.07565,,
2020-06-02,1.0941,1.0941,-1.13,1.0917,1.087635,1.077006666666667,,
2020-06-03,1.0998,1.0998,0.52,1.09173,1.08963,1.07884,,
2020-06-04,1.1076,1.1076,0.71,1.09241,1.09185,1.0803,,
2020-06-05,1.122,1.122,1.3,1.0976899999999998,1.09434,1.082463333333333,,
2020-06-08,1.1064,1.1064,-1.39,1.09979,1.0965,1.0837666666666663,,
2020-06-09,1.1319,1.1319,2.3,1.10182,1.099185,1.0860133333333333,,
2020-06-10,1.1481,1.1481,1.43,1.10807,1.1017199999999998,1.08934,,
2020-06-11,1.139,1.139,-0.79,1.11485,1.103865,1.0918533333333331,,
2020-06-12,1.1547,1.1547,1.38,1.12102,1.107135,1.0949466666666663,,
2020-06-15,1.1616,1.1616,0.6,1.12652,1.1100150000000002,1.09879,,
2020-06-16,1.1843,1.1843,1.95,1.13554,1.11362,1.1036033333333333,,
2020-06-17,1.2098,1.2098,2.15,1.14654,1.119135,1.1086,,
2020-06-18,1.1854,1.1854,-2.02,1.15432,1.1233650000000002,1.1126733333333332,,
2020-06-19,1.22,1.22,2.92,1.16412,1.1309049999999998,1.1176,,
2020-06-22,1.2262,1.2262,0.51,1.1761,1.137945,1.123033333333333,,
2020-06-23,1.2563,1.2563,2.45,1.18854,1.14518,1.1289699999999998,,
2020-06-24,1.2466,1.2466,-0.77,1.19839,1.15323,1.1339433333333333,,
2020-06-29,1.258,1.258,0.91,1.21029,1.16257,1.13934,,
2020-06-30,1.2826,1.2826,1.96,1.22308,1.17205,1.1457833333333334,,
2020-07-01,1.2656,1.2656,-1.33,1.23348,1.18,1.15117,,
2020-07-02,1.256,1.256,-0.76,1.24065,1.188095,1.1559633333333332,,
2020-07-03,1.2701,1.2701,1.12,1.24668,1.19661,1.16165,,
2020-07-06,1.2693,1.2693,-0.06,1.25507,1.2046949999999998,1.167266666666667,,
2020-07-07,1.3041,1.3041,2.74,1.26348,1.2138,1.175096666666667,,
2020-07-08,1.3069,1.3069,0.21,1.27155,1.2238250000000002,1.1824800000000002,,
2020-07-09,1.3569,1.3569,3.83,1.28161,1.235075,1.1906566666666667,1.1301383333333337,
2020-07-10,1.3774,1.3774,1.51,1.29469,1.24654,1.2003833333333334,1.1359116666666664,buy
2020-07-13,1.4377,1.4377,4.38,1.31266,1.261475,1.2126,1.1425550000000002,
2020-07-14,1.447,1.447,0.65,1.3291,1.27609,1.2244,1.1490483333333334,
2020-07-15,1.4648,1.4648,1.23,1.34902,1.29125,1.2363399999999998,1.155995,
2020-07-16,1.3739,1.3739,-6.21,1.36081,1.30073,1.245666666666667,1.161336666666667,
2020-07-17,1.4,1.4,1.9,1.3738,1.31024,1.2556733333333334,1.1672566666666666,
2020-07-20,1.3876,1.3876,-0.89,1.38563,1.32035,1.2650066666666668,1.172653333333333,
2020-07-21,1.4494,1.4494,4.45,1.40016,1.33182,1.27592,1.1791916666666669,
2020-07-22,1.4706,1.4706,1.46,1.41653,1.34404,1.2880600000000002,1.1859133333333332,
2020-07-23,1.5145,1.5145,2.99,1.43229,1.35695,1.3008133333333334,1.1934133333333332,
2020-07-24,1.4229,1.4229,-6.05,1.43684,1.365765,1.3099733333333332,1.1996566666666668,
2020-07-27,1.4469,1.4469,1.69,1.43776,1.3752099999999998,1.3202366666666665,1.206045,
2020-07-28,1.4453,1.4453,-0.11,1.43759,1.383345,1.3299233333333331,1.212435,
2020-07-29,1.5165,1.5165,4.93,1.44276,1.39589,1.3417533333333334,1.2202716666666666,
2020-07-30,1.5232,1.5232,0.44,1.45769,1.40925,1.35305,1.2283266666666668,
2020-07-31,1.5477,1.5477,1.61,1.47246,1.42313,1.364313333333333,1.2364566666666663,
2020-08-03,1.5812,1.5812,2.16,1.49182,1.438725,1.3775066666666669,1.2450900000000005,
2020-08-04,1.5722,1.5722,-0.57,1.5041,1.45213,1.3892466666666663,1.2534233333333331,
2020-08-05,1.6083,1.6083,2.3,1.5178699999999998,1.4672,1.4019833333333334,1.2625083333333331,
2020-08-06,1.5664,1.5664,-2.61,1.52306,1.477675,1.4123200000000002,1.2706450000000002,
2020-08-07,1.5399,1.5399,-1.69,1.53476,1.4857999999999998,1.4220966666666668,1.2780200000000002,
2020-08-10,1.5325,1.5325,-0.48,1.54332,1.49054,1.4312466666666666,1.2852933333333334,
2020-08-11,1.5095,1.5095,-1.5,1.54974,1.493665,1.43881,1.2922966666666664,
2020-08-12,1.4577,1.4577,-3.43,1.54386,1.49331,1.4452133333333337,1.2981916666666666,
2020-08-13,1.4258,1.4258,-2.19,1.5341200000000002,1.495905,1.4508733333333332,1.3034183333333331,
2020-08-14,1.4366,1.4366,0.76,1.52301,1.497735,1.4564233333333332,1.3090366666666668,
