date,value,acc_value,up&down,10,20,30,60,operate
2016-07-22,0.9858,0.9858,-0.77,,,,,
2016-07-25,0.9818,0.9818,-0.41,,,,,
2016-07-26,0.9971,0.9971,1.56,,,,,
2016-07-27,0.9389,0.9389,-5.84,,,,,
2016-07-28,0.9329,0.9329,-0.64,,,,,
2016-07-29,0.9241,0.9241,-0.94,,,,,
2016-08-01,0.9129,0.9129,-1.21,,,,,
2016-08-02,0.9199,0.9199,0.77,,,,,
2016-08-03,0.9167,0.9167,-0.35,,,,,
2016-08-04,0.9281,0.9281,1.24,0.94382,,,,
2016-08-05,0.9167,0.9167,-1.23,0.9369100000000001,,,,
2016-08-08,0.9252,0.9252,0.93,0.93125,,,,
2016-08-09,0.9351,0.9351,1.07,0.9250499999999999,,,,
2016-08-10,0.9269,0.9269,-0.88,0.9238499999999998,,,,
2016-08-11,0.9125,0.9125,-1.55,0.9218100000000001,,,,
2016-08-12,0.9213,0.9213,0.96,0.92153,,,,
2016-08-15,0.9554,0.9554,3.7,0.9257799999999999,,,,
2016-08-16,0.9597,0.9597,0.45,0.9297599999999999,,,,
2016-08-17,0.9617,0.9617,0.21,0.9342600000000001,,,,
2016-08-18,0.9596,0.9596,-0.22,0.9374100000000001,0.940615,,,
2016-08-19,0.9577,0.9577,-0.2,0.9415099999999998,0.9392099999999999,,,
2016-08-22,0.9394,0.9394,-1.91,0.9429299999999999,0.9370899999999999,,,
2016-08-23,0.9428,0.9428,0.36,0.9437000000000001,0.934375,,,
2016-08-24,0.95,0.95,0.76,0.94601,0.9349299999999999,,,
2016-08-25,0.9415,0.9415,-0.89,0.9489099999999999,0.93536,,,
2016-08-26,0.9467,0.9467,0.55,0.95145,0.93649,,,
2016-08-29,0.9481,0.9481,0.15,0.9507199999999999,0.93825,,,
2016-08-30,0.9495,0.9495,0.15,0.9497,0.9397300000000002,,,
2016-08-31,0.9503,0.9503,0.08,0.94856,0.94141,,,
2016-09-01,0.9441,0.9441,-0.65,0.94701,0.94221,0.9427466666666666,,
2016-09-02,0.9398,0.9398,-0.46,0.9452200000000002,0.943365,0.9412133333333333,,
2016-09-05,0.9442,0.9442,0.47,0.9456999999999999,0.9443149999999999,0.9399599999999999,,
2016-09-06,0.9604,0.9604,1.72,0.9474599999999999,0.94558,0.9387366666666667,,
2016-09-07,0.9555,0.9555,-0.51,0.94801,0.94701,0.93929,,
2016-09-08,0.9622,0.9622,0.7,0.9500800000000001,0.949495,0.9402666666666666,,
2016-09-09,0.9499,0.9499,-1.28,0.9504000000000001,0.950925,0.9411266666666667,,
2016-09-12,0.9242,0.9242,-2.71,0.94801,0.949365,0.9415033333333334,,
