date,value,acc_value,up&down,10,20,30,60,operate
2013-07-29,2.643,0.998,-0.83,,,,,
2013-07-30,2.641,0.997,-0.08,,,,,
2013-07-31,2.657,1.003,0.61,,,,,
2013-08-01,2.644,0.998,-0.49,,,,,
2013-08-02,2.583,0.975,-2.31,,,,,
2013-08-05,2.635,0.995,2.01,,,,,
2013-08-06,2.599,0.981,-1.37,,,,,
2013-08-07,2.571,0.971,-1.08,,,,,
2013-08-08,2.59,0.978,0.74,,,,,
2013-08-09,2.622,0.99,1.24,0.9886,,,,
2013-08-12,2.667,1.007,1.72,0.9895,,,,
2013-08-13,2.679,1.012,0.45,0.991,,,,
2013-08-14,2.647,1.0,-1.19,0.9907,,,,
2013-08-15,2.671,1.009,0.91,0.9918,,,,
2013-08-16,2.718,1.026,1.76,0.9969,,,,
2013-08-19,2.735,1.033,0.63,1.0007,,,,
2013-08-20,2.705,1.021,-1.1,1.0047,,,,
2013-08-21,2.721,1.027,0.59,1.0103,,,,
2013-08-22,2.716,1.026,-0.18,1.0151,,,,
2013-08-23,2.73,1.031,0.52,1.0192,1.0039,,,
2013-08-26,2.774,1.048,1.61,1.0233,1.0063999999999995,,,
2013-08-27,2.781,1.05,0.25,1.0271,1.0090499999999998,,,
2013-08-28,2.82,1.065,1.4,1.0336,1.01215,,,
2013-08-29,2.797,1.056,-0.82,1.0383,1.01505,,,
2013-08-30,2.774,1.048,-0.82,1.0405,1.0187,,,
2013-09-02,2.767,1.045,-0.25,1.0417,1.0212,,,
2013-09-03,2.761,1.043,-0.22,1.0439,1.0243,,,
2013-09-04,2.789,1.053,1.01,1.0465,1.0284,,,
2013-09-05,2.754,1.04,-1.25,1.0479,1.0315,,,
2013-09-06,2.73,1.031,-0.87,1.0478999999999998,1.03355,1.0185666666666666,,
2013-09-09,2.758,1.041,1.03,1.0472,1.03525,1.02,,
2013-09-10,2.735,1.033,-0.83,1.0455,1.0363,1.0212,,
2013-09-11,2.72,1.027,-0.55,1.0417,1.0376499999999995,1.0219999999999998,,
2013-09-12,2.678,1.011,-1.54,1.0372,1.0377500000000002,1.0224333333333333,,
2013-09-13,2.624,0.991,-2.02,1.0315,1.036,1.0229666666666666,,
2013-09-16,2.634,0.995,0.38,1.0265,1.0341,1.0229666666666666,,
2013-09-17,2.616,0.988,-0.68,1.021,1.03245,1.0232,,
2013-09-18,2.587,0.977,-1.11,1.0134,1.02995,1.0234,,
2013-09-23,2.631,0.994,1.7,1.0088,1.02835,1.0239333333333331,,
2013-09-24,2.621,0.99,-0.38,1.0047,1.0263,1.0239333333333334,,
2013-09-25,2.619,0.989,-0.08,0.9995,1.0233500000000002,1.0233333333333332,,
2013-09-26,2.642,0.998,0.88,0.996,1.02075,1.0228666666666666,,
2013-09-27,2.632,0.994,-0.38,0.9927,1.0172,1.0226666666666666,,
2013-09-30,2.653,1.002,0.8,0.9918,1.0145,1.0224333333333333,,
2013-10-08,2.628,0.992,-0.94,0.9919,1.0116999999999998,1.0213,,
2013-10-09,2.617,0.988,-0.42,0.9912,1.00885,1.0198,,
2013-10-10,2.594,0.98,-0.88,0.9904,1.0056999999999998,1.0184333333333333,,
2013-10-11,2.574,0.972,-0.77,0.9899,1.00165,1.0166,,
2013-10-14,2.548,0.962,-1.01,0.9867,0.99775,1.0144666666666666,,
2013-10-15,2.529,0.955,-0.75,0.9832,0.99395,1.0119333333333334,,
2013-10-16,2.546,0.961,0.67,0.9804,0.98995,1.0090333333333334,,
2013-10-17,2.536,0.958,-0.39,0.9764,0.9862,1.005966666666667,,
2013-10-18,2.597,0.981,2.41,0.9751,0.9839,1.0031666666666663,,
2013-10-21,2.603,0.983,0.23,0.9732,0.9825000000000002,1.0007333333333333,,
2013-10-22,2.591,0.978,-0.46,0.9718,0.98185,0.9984,,
2013-10-23,2.621,0.99,1.16,0.972,0.9816,0.9965666666666666,,
2013-10-24,2.622,0.99,0.04,0.973,0.9817,0.9948,,
2013-10-25,2.624,0.991,0.08,0.9749,0.9824,0.9927333333333332,,
2013-10-28,2.637,0.996,0.5,0.9783,0.9825000000000002,0.9912666666666666,,
2013-10-29,2.638,0.996,0.04,0.9824,0.9828,0.9901,1.0043333333333333,
2013-10-30,2.635,0.995,-0.11,0.9858,0.9831,0.9885666666666668,1.0042833333333332,
2013-10-31,2.618,0.989,-0.65,0.9889,0.98265,0.9871,1.00415,
2013-11-01,2.603,0.983,-0.57,0.9891,0.9821,0.9856333333333333,1.0038166666666666,
2013-11-04,2.58,0.974,-0.88,0.9882,0.9807,0.9844,1.0034166666666666,
2013-11-05,2.583,0.975,0.12,0.9879,0.97985,0.9838666666666666,1.0034166666666666,
2013-11-06,2.577,0.973,-0.23,0.9862,0.9791,0.9831333333333332,1.00305,
2013-11-07,2.586,0.977,0.35,0.9849,0.97895,0.9827666666666668,1.0029833333333331,
2013-11-08,2.571,0.971,-0.58,0.9829,0.9789,0.9825666666666668,1.0029833333333331,
2013-11-11,2.529,0.955,-1.63,0.9788,0.97855,0.9812666666666668,1.0026,
2013-11-12,2.516,0.95,-0.51,0.9742,0.9783,0.9799333333333332,1.0019333333333331,
2013-11-13,2.506,0.946,-0.4,0.9693,0.97755,0.9785,1.000916666666667,
2013-11-14,2.526,0.954,0.8,0.9658,0.97735,0.9770333333333332,0.99995,
2013-11-15,2.526,0.954,0.0,0.9629,0.976,0.9757,0.9991833333333332,
2013-11-18,2.527,0.954,0.04,0.9609,0.97455,0.9741,0.9982666666666664,
2013-11-19,2.505,0.946,-0.87,0.958,0.97295,0.9725666666666668,0.9969333333333332,
