date,value,acc_value,up&down,10,20,30,60,operate
2013-03-15,1.0002,1.0002,-0.27,,,,,
2013-03-18,0.9973,0.9973,-0.29,,,,,
2013-03-19,1.0001,1.0001,0.28,,,,,
2013-03-20,1.0174,1.0174,1.73,,,,,
2013-03-21,1.0185,1.0185,0.11,,,,,
2013-03-22,1.0198,1.0198,0.13,,,,,
2013-03-25,1.0176,1.0176,-0.22,,,,,
2013-03-26,1.0033,1.0033,-1.41,,,,,
2013-03-27,1.0064,1.0064,0.31,,,,,
2013-03-28,0.9743,0.9743,-3.19,1.00549,,,,
2013-03-29,0.9731,0.9731,-0.12,1.00278,,,,
2013-04-01,0.9719,0.9719,-0.12,1.00024,,,,
2013-04-02,0.9686,0.9686,-0.34,0.99709,,,,
2013-04-03,0.967,0.967,-0.17,0.99205,,,,
2013-04-08,0.9625,0.9625,-0.47,0.98645,,,,
2013-04-09,0.9692,0.9692,0.7,0.98139,,,,
2013-04-10,0.9675,0.9675,-0.18,0.97638,,,,
2013-04-11,0.9647,0.9647,-0.29,0.97252,,,,
2013-04-12,0.9586,0.9586,-0.63,0.9677399999999998,,,,
2013-04-15,0.949,0.949,-1.0,0.96521,0.98535,,,
2013-04-16,0.9577,0.9577,0.92,0.96367,0.983225,,,
2013-04-17,0.9576,0.9576,-0.01,0.96224,0.98124,,,
2013-04-18,0.9601,0.9601,0.26,0.96139,0.97924,,,
2013-04-19,0.9866,0.9866,2.76,0.9633500000000002,0.9777,,,
2013-04-22,0.9854,0.9854,-0.12,0.96564,0.976045,,,
2013-04-23,0.9542,0.9542,-3.17,0.96414,0.972765,,,
2013-04-24,0.9722,0.9722,1.89,0.96461,0.970495,,,
2013-04-25,0.9616,0.9616,-1.09,0.9643,0.96841,,,
2013-04-26,0.9537,0.9537,-0.82,0.9638100000000002,0.965775,,,
2013-05-02,0.9544,0.9544,0.07,0.96435,0.96478,0.97835,,
2013-05-03,0.9714,0.9714,1.78,0.96572,0.964695,0.97739,,
2013-05-06,0.9843,0.9843,1.33,0.96839,0.965315,0.9769566666666668,,
2013-05-07,0.9859,0.9859,0.16,0.97097,0.96618,0.9764833333333336,,
2013-05-08,0.9907,0.9907,0.49,0.97138,0.967365,0.9755933333333334,,
2013-05-09,0.985,0.985,-0.58,0.97134,0.96849,0.9744766666666668,,
2013-05-10,0.9901,0.9901,0.52,0.97493,0.969535,0.9734866666666666,,
2013-05-13,0.9865,0.9865,-0.36,0.97636,0.9704849999999998,0.97245,,
2013-05-14,0.9721,0.9721,-1.46,0.97741,0.970855,0.97141,,
2013-05-15,0.9775,0.9775,0.56,0.97979,0.9718,0.9704466666666666,,
2013-05-16,0.9956,0.9956,1.85,0.98391,0.97413,0.9711566666666668,,
2013-05-17,1.0109,1.0109,1.54,0.98786,0.97679,0.9724166666666666,,
2013-05-20,1.018,1.018,0.7,0.99123,0.97981,0.9739533333333332,,
2013-05-21,1.0201,1.0201,0.21,0.99465,0.98281,0.97567,,
2013-05-22,1.0216,1.0216,0.15,0.99774,0.98456,0.97749,,
2013-05-23,1.0082,1.0082,-1.31,1.00006,0.9857,0.9790133333333332,,
2013-05-24,1.0141,1.0141,0.59,1.00246,0.988695,0.98051,,
2013-05-27,1.0151,1.0151,0.1,1.0053199999999998,0.99084,0.9820966666666666,,
2013-05-28,1.0325,1.0325,1.71,1.01136,0.994385,0.9843566666666668,,
2013-05-29,1.0319,1.0319,-0.06,1.0168,0.998295,0.9868,,
2013-05-30,1.0287,1.0287,-0.31,1.02011,1.0020099999999998,0.9894566666666668,,
2013-05-31,1.018,1.018,-1.04,1.02082,1.00434,0.9914666666666666,,
2013-06-03,1.0179,1.0179,-0.01,1.02081,1.00602,0.9934766666666668,,
2013-06-04,1.0037,1.0037,-1.4,1.01917,1.00691,0.99493,,
2013-06-05,1.002,1.002,-0.17,1.01721,1.007475,0.9954433333333336,,
2013-06-06,0.9898,0.9898,-1.22,1.01537,1.007715,0.99559,,
2013-06-07,0.9739,0.9739,-1.61,1.0113499999999995,1.0069050000000002,0.9962466666666666,,
2013-06-13,0.9428,0.9428,-3.19,1.00412,1.00472,0.9952666666666666,,
2013-06-14,0.9495,0.9495,0.71,0.99582,1.00359,0.9948633333333332,,
2013-06-17,0.9445,0.9445,-0.53,0.98708,1.00194,0.9945566666666666,,
2013-06-18,0.9507,0.9507,0.66,0.97928,0.999695,0.9944333333333332,0.9863916666666668,
2013-06-19,0.9439,0.9439,-0.72,0.97187,0.996345,0.9935166666666668,0.9854533333333334,
2013-06-20,0.9128,0.9128,-3.29,0.96136,0.991085,0.9911333333333332,0.984045,
2013-06-21,0.912,0.912,-0.09,0.95219,0.98568,0.98867,0.9825766666666668,
