date,value,acc_value,up&down,10,20,30,60,operate
2021-03-17,0.995,0.995,-0.32,,,,,
2021-03-18,0.9724,0.9724,-2.27,,,,,
2021-03-19,0.967,0.967,-0.56,,,,,
2021-03-22,0.979,0.979,1.24,,,,,
2021-03-23,0.9336,0.9336,-4.64,,,,,
2021-03-24,0.9057,0.9057,-2.99,,,,,
2021-03-25,0.9093,0.9093,0.4,,,,,
2021-03-26,0.9339,0.9339,2.71,,,,,
2021-03-29,0.9272,0.9272,-0.72,,,,,
2021-03-30,0.9525,0.9525,2.73,0.94756,,,,
2021-03-31,0.9291,0.9291,-2.46,0.94097,,,,
2021-04-01,0.9299,0.9299,0.09,0.93672,,,,
2021-04-02,0.9215,0.9215,-0.9,0.93217,,,,
2021-04-06,0.9315,0.9315,1.09,0.92742,,,,
2021-04-07,0.9476,0.9476,1.73,0.92882,,,,
2021-04-08,0.9434,0.9434,-0.44,0.93259,,,,
2021-04-09,0.9488,0.9488,0.57,0.93654,,,,
2021-04-12,0.9191,0.9191,-3.13,0.93506,,,,
2021-04-13,0.9003,0.9003,-2.05,0.93237,,,,
2021-04-14,0.9103,0.9103,1.11,0.92815,0.937855,,,
2021-04-15,0.9159,0.9159,0.62,0.92683,0.9338999999999998,,,
2021-04-16,0.9159,0.9159,0.0,0.92543,0.931075,,,
2021-04-19,0.9386,0.9386,2.48,0.92714,0.929655,,,
2021-04-20,0.9494,0.9494,1.15,0.92893,0.928175,,,
2021-04-21,0.94,0.94,-0.99,0.92817,0.9284949999999998,,,
2021-04-22,0.9423,0.9423,0.24,0.92806,0.930325,,,
2021-04-23,0.9398,0.9398,-0.27,0.92716,0.93185,,,
2021-04-26,0.9351,0.9351,-0.5,0.92876,0.93191,,,
2021-04-27,0.9263,0.9263,-0.94,0.93136,0.931865,,,
2021-04-28,0.9383,0.9383,1.3,0.93416,0.931155,0.9366233333333334,,
2021-04-29,0.9266,0.9266,-1.25,0.93523,0.93103,0.9343433333333332,,
2021-04-30,0.9188,0.9188,-0.84,0.93552,0.930475,0.9325566666666666,,
2021-05-06,0.9353,0.9353,1.8,0.93519,0.931165,0.9315,,
2021-05-07,0.9598,0.9598,2.62,0.93623,0.93258,0.93086,,
2021-05-10,0.9924,0.9924,3.4,0.94147,0.93482,0.93282,,
2021-05-11,0.9658,0.9658,-2.68,0.94382,0.93594,0.9348233333333332,,
2021-05-12,0.9761,0.9761,1.07,0.94745,0.937305,0.93705,,
2021-05-13,0.9359,0.9359,-4.12,0.94753,0.938145,0.9371166666666666,,
2021-05-14,0.9455,0.9455,1.03,0.94945,0.9404050000000002,0.9377266666666668,,
2021-05-17,0.9532,0.9532,0.81,0.95094,0.94255,0.93775,,
2021-05-18,0.9557,0.9557,0.26,0.95385,0.9445400000000002,0.9386366666666668,,
2021-05-19,0.9616,0.9616,0.62,0.95813,0.946825,0.9396933333333334,,
2021-05-20,0.9393,0.9393,-2.32,0.95853,0.94686,0.9402866666666668,,
2021-05-21,0.9401,0.9401,0.09,0.95656,0.946395,0.9405733333333334,,
2021-05-24,0.9273,0.9273,-1.36,0.95005,0.9457600000000002,0.9398966666666666,,
2021-05-25,0.9376,0.9376,1.11,0.94723,0.945525,0.9397033333333332,,
2021-05-26,0.9529,0.9529,1.63,0.94491,0.94618,0.93984,,
2021-05-27,0.9585,0.9585,0.59,0.94717,0.94735,0.9411533333333334,,
2021-05-28,0.9579,0.9579,-0.06,0.94841,0.94893,0.9430733333333332,,
2021-05-31,0.9917,0.9917,3.53,0.95226,0.9516,0.9457866666666668,,
2021-06-01,0.9915,0.9915,-0.02,0.95584,0.954845,0.9483066666666669,,
2021-06-02,0.9856,0.9856,-0.6,0.95824,0.958185,0.95063,,
2021-06-03,1.0065,1.0065,2.12,0.96496,0.961745,0.9528933333333334,,
2021-06-04,1.0091,1.0091,0.26,0.97186,0.96421,0.9548833333333332,,
2021-06-07,1.0085,1.0085,-0.06,0.97998,0.9650150000000002,0.9571666666666668,,
2021-06-08,0.9926,0.9926,-1.58,0.98548,0.966355,0.9588433333333334,,
2021-06-09,0.9898,0.9898,-0.28,0.98917,0.96704,0.96051,,
2021-06-10,0.9888,0.9888,-0.1,0.9922,0.969685,0.9623,,
2021-06-11,0.9763,0.9763,-1.26,0.99404,0.971225,0.9639666666666666,,
2021-06-15,0.9526,0.9526,-2.43,0.99013,0.971195,0.9644433333333332,0.9505333333333332,
2021-06-16,0.9237,0.9237,-3.03,0.98335,0.969595,0.9643466666666666,0.949345,
2021-06-17,0.9332,0.9332,1.03,0.97811,0.968175,0.9648266666666668,0.9486916666666668,
2021-06-18,0.9502,0.9502,1.82,0.97248,0.96872,0.9653233333333332,0.9484116666666668,
2021-06-21,0.9638,0.9638,1.43,0.96795,0.969905,0.9654566666666666,0.9481583333333332,
2021-06-22,0.981,0.981,1.78,0.9652,0.97259,0.9650766666666666,0.9489483333333334,
2021-06-23,0.9904,0.9904,0.96,0.96498,0.97523,0.9658966666666668,0.95036,
2021-06-24,0.9975,0.9975,0.72,0.96575,0.97746,0.96661,0.95183,
2021-06-25,1.0032,1.0032,0.57,0.96719,0.979695,0.9688533333333336,0.952985,buy
2021-06-28,0.9976,0.9976,-0.56,0.96932,0.98168,0.97059,0.9541583333333332,
2021-06-29,0.9982,0.9982,0.06,0.97388,0.982005,0.97209,0.95492,
2021-06-30,1.0158,1.0158,1.76,0.98309,0.98322,0.9740933333333334,0.956365,
2021-07-01,0.9835,0.9835,-3.18,0.98812,0.983115,0.9748233333333332,0.9572583333333332,
2021-07-02,1.0087,1.0087,2.56,0.99397,0.983225,0.9771366666666668,0.9587116666666666,
2021-07-05,1.0487,1.0487,3.97,1.00246,0.985205,0.9807566666666666,0.960665,
2021-07-06,1.0564,1.0564,0.73,1.01,0.9876,0.98506,0.9624783333333332,
2021-07-07,1.1091,1.1091,4.99,1.02187,0.993425,0.9907766666666667,0.96524,
2021-07-08,1.1272,1.1272,1.63,1.03484,1.000295,0.9965866666666668,0.9682133333333331,
2021-07-09,1.1952,1.1952,6.03,1.05404,1.010615,1.004476666666667,0.972815,
2021-07-12,1.2219,1.2219,2.23,1.07647,1.022895,1.0132766666666668,0.978175,
2021-07-13,1.2262,1.2262,0.35,1.0992700000000002,1.036575,1.0210933333333334,0.98344,
