date,value,acc_value,up&down,10,20,30,60,operate
2020-11-16,1.4495,1.0067,0.71,,,,,
2020-11-17,1.4336,0.9956,-1.1,,,,,
2020-11-18,1.422,0.9876,-0.81,,,,,
2020-11-19,1.4387,0.9992,1.17,,,,,
2020-11-20,1.4335,0.9955,-0.36,,,,,
2020-11-23,1.4211,0.9869,-0.87,,,,,
2020-11-24,1.4157,0.9832,-0.38,,,,,
2020-11-25,1.3915,0.9664,-1.71,,,,,
2020-11-26,1.3885,0.9643,-0.22,,,,,
2020-11-27,1.3909,0.966,0.17,0.98514,,,,
2020-11-30,1.3886,0.9644,-0.17,0.98091,,,,
2020-12-01,1.4078,0.9777,1.38,0.97912,,,,
2020-12-02,1.4133,0.9815,0.39,0.97851,,,,
2020-12-03,1.415,0.9827,0.12,0.97686,,,,
2020-12-04,1.4097,0.979,-0.37,0.97521,,,,
2020-12-07,1.4126,0.981,0.21,0.97462,,,,
2020-12-08,1.4074,0.9774,-0.37,0.9740399999999999,,,,
2020-12-09,1.3771,0.9564,-2.15,0.9730400000000001,,,,
2020-12-10,1.3839,0.9611,0.49,0.97272,,,,
2020-12-11,1.3985,0.9712,1.05,0.97324,0.97919,,,
2020-12-14,1.413,0.9813,1.04,0.97493,0.9779200000000001,,,
2020-12-15,1.4049,0.9757,-0.57,0.9747300000000001,0.9769250000000002,,,
2020-12-16,1.387,0.9633,-1.27,0.9729099999999999,0.9757100000000001,,,
2020-12-17,1.4057,0.9762,1.35,0.97226,0.97456,,,
2020-12-18,1.4033,0.9746,-0.17,0.9718199999999999,0.9735149999999999,,,
2020-12-21,1.4315,0.9942,2.01,0.9731399999999999,0.9738800000000001,,,
2020-12-22,1.4006,0.9727,-2.16,0.9726699999999999,0.9733550000000001,,,
2020-12-23,1.4191,0.9855,1.32,0.9755799999999999,0.97431,,,
2020-12-24,1.3897,0.9651,-2.07,0.9759800000000001,0.9743499999999999,,,
2020-12-25,1.3915,0.9664,0.13,0.9755,0.9743699999999998,0.9779599999999999,,
2020-12-28,1.3804,0.9587,-0.8,0.97324,0.974085,0.97636,,
2020-12-29,1.3789,0.9576,-0.11,0.97143,0.9730799999999998,0.9750933333333334,,
2020-12-30,1.405,0.9758,1.89,0.9726800000000001,0.972795,0.9747,,
2020-12-31,1.4359,0.9972,2.2,0.97478,0.97352,0.9746333333333334,,
2021-01-04,1.4658,1.018,2.08,0.97912,0.97547,0.9753833333333333,,
2021-01-05,1.469,1.0202,0.22,0.9817199999999999,0.97743,0.9764933333333334,,
2021-01-06,1.4587,1.013,-0.7,0.9857500000000001,0.9792099999999999,0.9774866666666667,,
2021-01-07,1.4247,0.9894,-2.33,0.9861400000000001,0.9808600000000001,0.9782533333333333,,
2021-01-08,1.4215,0.9872,-0.22,0.98835,0.982165,0.9790166666666666,,
2021-01-11,1.4337,0.9957,0.86,0.9912799999999999,0.98339,0.9800066666666666,,
2021-01-12,1.4486,1.006,1.04,0.9960100000000001,0.984625,0.9813933333333333,,
2021-01-13,1.4509,1.0076,0.16,1.00101,0.98622,0.98239,,
2021-01-14,1.4918,1.036,2.82,1.0070299999999999,0.989855,0.9842066666666668,,
2021-01-15,1.492,1.0362,0.01,1.01093,0.9928549999999999,0.9859899999999999,,
