date,value,acc_value,up&down,10,20,30,60,operate
2015-07-13,0.9979,0.9979,0.59,,,,,
2015-07-14,1.0011,1.0011,0.32,,,,,
2015-07-15,1.0017,1.0017,0.06,,,,,
2015-07-16,1.0113,1.0113,0.96,,,,,
2015-07-17,1.0202,1.0202,0.88,,,,,
2015-07-20,1.0244,1.0244,0.41,,,,,
2015-07-21,1.0221,1.0221,-0.22,,,,,
2015-07-22,1.0121,1.0121,-0.98,,,,,
2015-07-23,1.0119,1.0119,-0.02,,,,,
2015-07-24,0.9962,0.9962,-1.55,1.00989,,,,
2015-07-27,0.986,0.986,-1.02,1.0087,,,,
2015-07-28,0.9917,0.9917,0.58,1.00776,,,,
2015-07-29,0.9935,0.9935,0.18,1.00694,,,,
2015-07-30,1.0,1.0,0.65,1.0058099999999999,,,,
2015-07-31,0.9972,0.9972,-0.28,1.00351,,,,
2015-08-03,0.9943,0.9943,-0.29,1.0005000000000002,,,,
2015-08-04,0.9881,0.9881,-0.62,0.9971,,,,
2015-08-05,0.9976,0.9976,0.96,0.99565,,,,
2015-08-06,0.9822,0.9822,-1.54,0.99268,,,,
2015-08-07,0.9806,0.9806,-0.16,0.9911199999999999,1.000505,,,
2015-08-10,0.9912,0.9912,1.08,0.9916400000000001,1.00017,,,
2015-08-11,0.9849,0.9849,-0.64,0.99096,0.99936,,,
2015-08-12,0.9951,0.9951,1.04,0.9911200000000001,0.9990300000000001,,,
2015-08-13,0.9945,0.9945,-0.06,0.99057,0.9981899999999999,,,
2015-08-14,0.9976,0.9976,0.31,0.99061,0.9970600000000001,,,
2015-08-17,1.0049,1.0049,0.73,0.99167,0.9960850000000001,,,
2015-08-18,1.0,1.0,-0.49,0.9928600000000001,0.99498,,,
2015-08-19,0.9906,0.9906,-0.94,0.9921599999999999,0.993905,,,
2015-08-20,0.9586,0.9586,-3.23,0.9898,0.9912400000000001,,,
2015-08-21,0.9215,0.9215,-3.87,0.98389,0.987505,0.9949666666666667,,
2015-08-24,0.8786,0.8786,-4.66,0.97263,0.9821349999999999,0.9909899999999999,,
2015-08-25,0.8853,0.8853,0.76,0.9626699999999999,0.976815,0.9871300000000001,,
2015-08-26,0.9236,0.9236,4.33,0.9555199999999999,0.97332,0.9845266666666668,,
2015-08-27,0.9483,0.9483,2.67,0.9509000000000001,0.970735,0.9824266666666667,,
2015-08-28,0.9483,0.9483,0.0,0.94597,0.96829,0.98003,,
2015-08-31,0.9338,0.9338,-1.53,0.93886,0.9652650000000002,0.97701,,
2015-09-01,0.9076,0.9076,-2.81,0.9296199999999999,0.9612399999999999,0.9731933333333332,,
2015-09-02,0.9281,0.9281,2.26,0.92337,0.957765,0.9703933333333333,,
2015-09-07,0.913,0.913,-1.63,0.91881,0.9543050000000001,0.9670966666666667,,
2015-09-08,0.9366,0.9366,2.58,0.92032,0.9521049999999999,0.9651099999999999,,
2015-09-09,0.9269,0.9269,-1.04,0.92515,0.9488899999999999,0.9631399999999999,,
2015-09-10,0.9375,0.9375,1.14,0.9303700000000001,0.9465199999999999,0.9613333333333334,,
2015-09-11,0.9431,0.9431,0.6,0.93232,0.94392,0.9596533333333334,,
2015-09-14,0.9396,0.9396,-0.37,0.9314500000000001,0.941175,0.9576399999999999,,
2015-09-15,0.9503,0.9503,1.14,0.9316500000000001,0.9388099999999999,0.9560766666666667,,
2015-09-16,0.9577,0.9577,0.78,0.9340399999999999,0.93645,0.9548566666666667,,
2015-09-17,0.9546,0.9546,-0.32,0.9387400000000001,0.9341799999999999,0.9537399999999999,,
2015-09-18,0.9426,0.9426,-1.26,0.94019,0.93178,0.9519066666666667,,
2015-09-21,0.9421,0.9421,-0.05,0.9430999999999999,0.930955,0.9505700000000001,,
2015-09-22,0.927,0.927,-1.6,0.94214,0.93123,0.9487833333333333,,
2015-09-23,0.9269,0.9269,-0.01,0.94214,0.9336450000000001,0.94664,,
2015-09-24,0.9236,0.9236,-0.36,0.9407499999999999,0.9355600000000001,0.9445966666666668,,
2015-09-25,0.9159,0.9159,-0.83,0.93803,0.9351750000000001,0.9419566666666667,,
2015-09-28,0.8865,0.8865,-3.21,0.93272,0.932085,0.9383566666666667,,
2015-09-29,0.8811,0.8811,-0.61,0.9258,0.928725,0.9344733333333333,,
2015-09-30,0.9013,0.9013,2.29,0.9201600000000001,0.9270999999999999,0.93102,,
2015-10-08,0.9369,0.9369,3.95,0.9183899999999999,0.9285650000000001,0.9289166666666666,,
2015-10-09,0.941,0.941,0.44,0.91823,0.92921,0.9272633333333332,,
2015-10-12,0.9422,0.9422,0.13,0.9182400000000002,0.9306699999999999,0.9267166666666665,,
2015-10-13,0.9331,0.9331,-0.97,0.91885,0.930495,0.9271033333333333,0.9610350000000001,
2015-10-14,0.9344,0.9344,0.14,0.9196,0.93087,0.9289633333333334,0.9599766666666666,
2015-10-15,0.9496,0.9496,1.63,0.9222000000000001,0.931475,0.9311066666666666,0.9591183333333333,
2015-10-16,0.9545,0.9545,0.52,0.92606,0.9320449999999999,0.9321366666666666,0.9583316666666666,
2015-10-19,0.9608,0.9608,0.66,0.9334900000000002,0.9331050000000001,0.9325533333333333,0.95749,
2015-10-20,0.9569,0.9569,-0.41,0.9410700000000001,0.9334349999999999,0.93284,0.956435,
2015-10-21,0.9494,0.9494,-0.78,0.94588,0.93302,0.93336,0.955185,
2015-10-22,0.9691,0.9691,2.08,0.9490999999999999,0.933745,0.93541,0.9543016666666666,
2015-10-23,0.9966,0.9966,2.84,0.9546600000000002,0.936445,0.9376933333333334,0.9540433333333332,
2015-10-26,0.997,0.997,0.04,0.96014,0.93919,0.9404933333333333,0.953795,
2015-10-27,0.9978,0.9978,0.08,0.96661,0.9427299999999998,0.9425333333333333,0.9538216666666667,
2015-10-28,1.0068,1.0068,0.9,0.97385,0.946725,0.9451966666666667,0.9541683333333334,
2015-10-29,1.0059,1.0059,-0.09,0.9794799999999999,0.95084,0.9474766666666667,0.954405,
2015-10-30,0.9994,0.9994,-0.65,0.98397,0.9550149999999998,0.9493533333333333,0.9545033333333333,
2015-11-02,1.0052,1.0052,0.58,0.98841,0.9609500000000001,0.95154,0.9545899999999999,
2015-11-03,1.011,1.011,0.58,0.99382,0.967445,0.9535633333333333,0.9548199999999999,
2015-11-04,1.0115,1.0115,0.05,1.00003,0.972955,0.9553566666666666,0.9551066666666668,
2015-11-05,1.0094,1.0094,-0.21,1.00406,0.97658,0.9571833333333334,0.9554616666666667,
2015-11-06,1.0115,1.0115,0.21,1.00555,0.980105,0.9594799999999999,0.9556933333333333,
2015-11-09,1.0023,1.0023,-0.91,1.00608,0.9831100000000002,0.9614866666666667,0.9560283333333334,
