date,value,acc_value,up&down,10,20,30,60,operate
2020-09-23,0.985,0.985,0.42,,,,,
2020-09-24,0.9617,0.9617,-2.37,,,,,
2020-09-25,0.9591,0.9591,-0.27,,,,,
2020-09-28,0.9498,0.9498,-0.97,,,,,
2020-09-29,0.9635,0.9635,1.44,,,,,
2020-09-30,0.9604,0.9604,-0.32,,,,,
2020-10-09,0.9873,0.9873,2.8,,,,,
2020-10-12,1.0196,1.0196,3.27,,,,,
2020-10-13,1.0252,1.0252,0.55,,,,,
2020-10-14,1.0097,1.0097,-1.51,0.9821300000000001,,,,
2020-10-15,1.0066,1.0066,-0.31,0.98429,,,,
2020-10-16,0.9961,0.9961,-1.04,0.98773,,,,
2020-10-19,0.9934,0.9934,-0.27,0.99116,,,,
2020-10-20,1.0046,1.0046,1.13,0.99664,,,,
2020-10-21,0.984,0.984,-2.05,0.9986899999999999,,,,
2020-10-22,0.9802,0.9802,-0.39,1.00067,,,,
2020-10-23,0.9693,0.9693,-1.11,0.9988699999999999,,,,
2020-10-26,0.9777,0.9777,0.87,0.99468,,,,
2020-10-27,0.9824,0.9824,0.48,0.9904,,,,
2020-10-28,0.9844,0.9844,0.2,0.98787,0.985,,,
2020-10-29,0.9804,0.9804,-0.41,0.9852500000000001,0.9847699999999999,,,
2020-10-30,0.9688,0.9688,-1.18,0.9825200000000001,0.985125,,,
2020-11-02,0.9712,0.9712,0.25,0.9803000000000001,0.98573,,,
2020-11-03,0.9902,0.9902,1.96,0.9788600000000001,0.9877499999999999,,,
2020-11-04,0.9881,0.9881,-0.21,0.97927,0.9889800000000001,,,
2020-11-05,1.0094,1.0094,2.16,0.9821900000000001,0.99143,,,
2020-11-06,1.0125,1.0125,0.31,0.98651,0.99269,,,
2020-11-09,1.0438,1.0438,3.09,0.99312,0.9939,,,
2020-11-10,1.0243,1.0243,-1.87,0.9973099999999999,0.9938550000000002,,,
2020-11-11,0.993,0.993,-3.06,0.99817,0.9930199999999999,0.98939,,
2020-11-12,0.9972,0.9972,0.42,0.99985,0.9925499999999999,0.9897966666666667,,
2020-11-13,0.9954,0.9954,-0.18,1.00251,0.992515,0.9909199999999999,,
2020-11-16,0.9935,0.9935,-0.19,1.00474,0.9925200000000001,0.9920666666666667,,
2020-11-17,0.9863,0.9863,-0.72,1.00435,0.9916050000000001,0.9932833333333334,,
2020-11-18,0.98,0.98,-0.64,1.00354,0.991405,0.9938333333333333,,
2020-11-19,0.992,0.992,1.22,1.0017999999999998,0.991995,0.9948866666666667,,
2020-11-20,0.9927,0.9927,0.07,0.99982,0.9931650000000001,0.9950666666666667,,
2020-11-23,0.987,0.987,-0.57,0.99414,0.9936299999999999,0.99398,,
