date,value,acc_value,up&down,10,20,30,60,operate
2010-01-05,2.541,3.151,1.11,,,,,
2010-01-06,2.511,3.116,-1.18,,,,,
2010-01-07,2.461,3.057,-1.99,,,,,
2010-01-08,2.462,3.058,0.04,,,,,
2010-01-11,2.473,3.071,0.45,,,,,
2010-01-12,2.503,3.106,1.21,,,,,
2010-01-13,2.396,2.98,-4.27,,,,,
2010-01-14,2.419,3.007,0.96,,,,,
2010-01-15,2.425,3.014,0.25,,,,,
2010-01-18,2.419,3.007,-0.25,3.0567,,,,
2010-01-19,2.431,3.021,0.5,3.0437000000000003,,,,
2010-01-20,2.36,2.937,-2.92,3.0258,,,,
2010-01-21,2.378,2.958,0.76,3.0159000000000002,,,,
2010-01-22,2.381,2.962,0.13,3.0063,,,,
2010-01-25,2.354,2.93,-1.13,2.9922,,,,
2010-01-26,2.313,2.881,-1.74,2.9697,,,,
2010-01-27,2.265,2.825,-2.08,2.9541999999999997,,,,
2010-01-28,2.253,2.81,-0.53,2.9345,,,,
2010-01-29,2.244,2.8,-0.4,2.9131,,,,
2010-02-01,2.212,2.762,-1.43,2.8886,2.9726500000000002,,,
2010-02-02,2.217,2.768,0.23,2.8632999999999997,2.9535,,,
2010-02-03,2.28,2.842,2.84,2.8538,2.9398,,,
2010-02-04,2.264,2.823,-0.7,2.8403,2.9281,,,
2010-02-05,2.222,2.774,-1.86,2.8215,2.9139,,,
2010-02-08,2.213,2.763,-0.41,2.8047999999999997,2.8985,,,
2010-02-09,2.231,2.784,0.81,2.7951,2.8824,,,
2010-02-10,2.262,2.821,1.39,2.7946999999999997,2.87445,,,
2010-02-11,2.268,2.828,0.27,2.7965,2.8655,,,
2010-02-12,2.287,2.851,0.84,2.8016,2.85735,,,
2010-02-22,2.271,2.832,-0.7,2.8085999999999998,2.8486000000000002,2.9179666666666666,,
2010-02-23,2.23,2.783,-1.81,2.8101,2.8366999999999996,2.9057000000000004,,
2010-02-24,2.254,2.812,1.08,2.8071,2.83045,2.895566666666667,,
2010-02-25,2.285,2.848,1.38,2.8096,2.8249500000000003,2.8886,,
2010-02-26,2.277,2.839,-0.35,2.8160999999999996,2.8188,2.8813,,
2010-03-01,2.313,2.881,1.58,2.8279,2.81635,2.8749666666666664,,
2010-03-02,2.304,2.871,-0.39,2.8366,2.81585,2.8671333333333333,,
2010-03-03,2.314,2.883,0.43,2.8428,2.8187499999999996,2.8639,,
2010-03-04,2.265,2.825,-2.12,2.8425000000000002,2.8195,2.857833333333333,,
2010-03-05,2.271,2.832,0.26,2.8406,2.8211,2.851766666666667,,
2010-03-08,2.287,2.851,0.7,2.8425000000000002,2.82555,2.846566666666667,,
2010-03-09,2.305,2.872,0.79,2.8514,2.83075,2.8416,,
2010-03-10,2.295,2.86,-0.43,2.8562,2.83165,2.839033333333333,,
2010-03-11,2.302,2.868,0.31,2.8582,2.8339,2.836033333333333,,
2010-03-12,2.276,2.838,-1.13,2.8581,2.8371000000000004,2.8319,,
2010-03-15,2.241,2.796,-1.54,2.8495999999999997,2.83875,2.827433333333333,,
2010-03-16,2.262,2.821,0.94,2.8446000000000002,2.8406,2.8254333333333337,,
2010-03-17,2.308,2.876,2.03,2.8439,2.84335,2.8271333333333333,,
2010-03-18,2.296,2.861,-0.52,2.8475,2.8449999999999998,2.8288333333333333,,
2010-03-19,2.312,2.88,0.7,2.8523,2.84645,2.8314999999999997,,
2010-03-22,2.318,2.887,0.26,2.8559,2.8491999999999997,2.8356666666666666,,
2010-03-23,2.293,2.858,-1.08,2.8545000000000003,2.85295,2.8386666666666667,,
2010-03-24,2.293,2.858,0.0,2.8543,2.85525,2.8392,,
2010-03-25,2.26,2.819,-1.44,2.8494,2.8538,2.8390666666666666,,
2010-03-26,2.294,2.859,1.5,2.8515,2.8548,2.8419000000000003,,
2010-03-29,2.364,2.942,3.05,2.8661000000000003,2.85785,2.8478666666666665,,
2010-03-30,2.369,2.948,0.21,2.8788,2.8617,2.8533333333333335,,
2010-03-31,2.35,2.925,-0.8,2.8837,2.8638000000000003,2.8568,,
2010-04-01,2.376,2.956,1.11,2.8931999999999998,2.8703499999999997,2.861066666666667,,
2010-04-02,2.378,2.958,0.08,2.901,2.87665,2.8646333333333334,,
2010-04-06,2.377,2.957,-0.04,2.908,2.8819500000000002,2.8688,2.8933833333333334,
2010-04-07,2.361,2.938,-0.67,2.9160000000000004,2.88525,2.8739666666666666,2.8898333333333333,
2010-04-08,2.325,2.896,-1.52,2.9198,2.88705,2.8767666666666667,2.886166666666667,
2010-04-09,2.345,2.919,0.86,2.9297999999999997,2.8896,2.8791333333333333,2.8838666666666666,
2010-04-12,2.318,2.887,-1.15,2.9326,2.89205,2.880733333333333,2.8810166666666666,
2010-04-13,2.365,2.943,2.03,2.9327,2.8994,2.8828,2.8788833333333335,
2010-04-14,2.367,2.945,0.08,2.9324,2.9056,2.885266666666667,2.8762,
2010-04-15,2.366,2.944,-0.04,2.9343,2.909,2.8873,2.8756,
2010-04-16,2.329,2.9,-1.56,2.9287,2.91095,2.8898,2.873816666666667,
2010-04-19,2.21,2.76,-5.11,2.9089,2.9049500000000004,2.8874,2.869583333333333,
2010-04-20,2.204,2.752,-0.27,2.8884,2.8982,2.8840999999999997,2.865333333333333,
2010-04-21,2.238,2.793,1.54,2.8739,2.89495,2.881466666666667,2.8615333333333335,
2010-04-22,2.195,2.742,-1.92,2.8585000000000003,2.88915,2.877533333333333,2.858283333333333,
2010-04-23,2.184,2.729,-0.5,2.8395,2.8846499999999997,2.8729000000000005,2.8544666666666667,
2010-04-26,2.169,2.711,-0.69,2.8219000000000003,2.8772499999999996,2.868666666666667,2.850283333333333,
2010-04-27,2.13,2.665,-1.8,2.7941,2.8633999999999995,2.8643,2.8458666666666668,
2010-04-28,2.124,2.658,-0.28,2.7654,2.8488999999999995,2.8588666666666667,2.8421499999999997,
2010-04-29,2.123,2.657,-0.05,2.7367,2.8355,2.8515666666666664,2.8393500000000005,
2010-04-30,2.148,2.686,1.18,2.7153,2.822,2.8457333333333334,2.837283333333333,
2010-05-04,2.112,2.644,-1.68,2.7037,2.8063,2.8378666666666663,2.834683333333333,
2010-05-05,2.115,2.647,0.14,2.6932,2.7908,2.8298666666666668,2.8327666666666667,
2010-05-06,2.015,2.529,-4.73,2.6668,2.77035,2.8188999999999997,2.8287833333333334,
2010-05-07,1.988,2.497,-1.34,2.6422999999999996,2.7504,2.806866666666666,2.8230333333333335,
2010-05-10,2.015,2.529,1.36,2.6223,2.7308999999999997,2.7972000000000006,2.8181333333333334,
2010-05-11,1.976,2.483,-1.94,2.5995,2.7107,2.7846666666666664,2.813283333333333,
2010-05-12,2.009,2.522,1.67,2.5851999999999995,2.68965,2.7706666666666666,2.8092666666666664,
2010-05-13,2.05,2.57,2.04,2.5764,2.6709,2.7580666666666662,2.8057000000000003,
2010-05-14,2.028,2.544,-1.07,2.5651,2.6509,2.745366666666667,2.801083333333333,
2010-05-17,1.937,2.436,-4.49,2.5401,2.6277,2.7280333333333333,2.79455,
2010-05-18,1.979,2.486,2.17,2.5242999999999998,2.614,2.7123,2.7884666666666664,
2010-05-19,1.967,2.472,-0.61,2.5068,2.6,2.6961333333333335,2.7824666666666666,
2010-05-20,1.935,2.434,-1.63,2.4973,2.5820499999999997,2.679333333333333,2.7766499999999996,
2010-05-21,1.953,2.455,0.93,2.4931,2.5677,2.664633333333333,2.7707,
2010-05-24,2.017,2.531,3.28,2.4933,2.5578,2.6517,2.765416666666667,
