date,value,acc_value,up&down,10,20,30,60,operate
2019-06-17,0.9857,0.9857,-0.54,,,,,
2019-06-18,0.9982,0.9982,1.27,,,,,
2019-06-19,1.0079,1.0079,0.97,,,,,
2019-06-20,1.0297,1.0297,2.16,,,,,
2019-06-21,1.0413,1.0413,1.13,,,,,
2019-06-24,1.0415,1.0415,0.02,,,,,
2019-06-25,1.0344,1.0344,-0.68,,,,,
2019-06-26,1.0574,1.0574,2.22,,,,,
2019-06-27,1.0667,1.0667,0.88,,,,,
2019-06-28,1.0562,1.0562,-0.98,1.0318999999999998,,,,
2019-07-01,1.0839,1.0839,2.62,1.0417200000000002,,,,
2019-07-02,1.1003,1.1003,1.51,1.05193,,,,
2019-07-03,1.0855,1.0855,-1.35,1.05969,,,,
2019-07-04,1.0707,1.0707,-1.36,1.06379,,,,
2019-07-05,1.0789,1.0789,0.77,1.0675500000000002,,,,
2019-07-08,1.0574,1.0574,-1.99,1.06914,,,,
2019-07-09,1.0643,1.0643,0.65,1.07213,,,,
2019-07-10,1.0642,1.0642,-0.01,1.07281,,,,
2019-07-11,1.0761,1.0761,1.12,1.07375,,,,
2019-07-12,1.0783,1.0783,0.2,1.07596,1.05393,,,
2019-07-15,1.0863,1.0863,0.74,1.0761999999999998,1.05896,,,
2019-07-16,1.0829,1.0829,-0.31,1.07446,1.063195,,,
2019-07-17,1.0748,1.0748,-0.75,1.07339,1.06654,,,
2019-07-18,1.057,1.057,-1.66,1.07202,1.067905,,,
2019-07-19,1.0618,1.0618,0.45,1.07031,1.0689300000000002,,,
2019-07-22,1.0472,1.0472,-1.38,1.06929,1.0692150000000002,,,
2019-07-23,1.0554,1.0554,0.78,1.0684,1.070265,,,
2019-07-24,1.0652,1.0652,0.93,1.0685,1.070655,,,
2019-07-25,1.0681,1.0681,0.27,1.0677,1.070725,,,
2019-07-26,1.0758,1.0758,0.72,1.06745,1.071705,1.0584366666666667,,
2019-07-29,1.0666,1.0666,-0.86,1.06548,1.07084,1.0611333333333333,,
2019-07-30,1.0732,1.0732,0.62,1.0645099999999998,1.069485,1.0636333333333334,,
2019-07-31,1.0639,1.0639,-0.87,1.06342,1.068405,1.0655,,
2019-08-01,1.0607,1.0607,-0.3,1.06379,1.067905,1.0665333333333331,,
2019-08-02,1.0608,1.0608,0.01,1.06369,1.067,1.0671833333333334,,
2019-08-05,1.0498,1.0498,-1.04,1.06395,1.06662,1.06746,,
2019-08-06,1.0384,1.0384,-1.09,1.06225,1.065325,1.0675933333333334,,
2019-08-07,1.0386,1.0386,0.02,1.05959,1.064045,1.0669666666666666,,
2019-08-08,1.0589,1.0589,1.95,1.0586699999999998,1.063185,1.066706666666667,,
2019-08-09,1.0593,1.0593,0.04,1.05702,1.0622349999999998,1.06681,,
2019-08-12,1.077,1.077,1.67,1.05806,1.06177,1.06658,,
2019-08-13,1.0743,1.0743,-0.25,1.05817,1.06134,1.0657133333333333,,
2019-08-14,1.0921,1.0921,1.66,1.06099,1.062205,1.0659333333333334,,
2019-08-15,1.1036,1.1036,1.05,1.06528,1.064535,1.06703,,
2019-08-16,1.1102,1.1102,0.6,1.07022,1.066955,1.0680733333333334,,
2019-08-19,1.1338,1.1338,2.13,1.07862,1.071285,1.07062,,
2019-08-20,1.142,1.142,0.72,1.08898,1.075615,1.07321,,
2019-08-21,1.1318,1.1318,-0.89,1.0983,1.0789449999999998,1.0754633333333332,,
2019-08-22,1.1354,1.1354,0.32,1.10595,1.08231,1.07744,,
2019-08-23,1.1573,1.1573,1.93,1.1157499999999998,1.086385,1.0800733333333334,,
