date,value,acc_value,up&down,10,20,30,60,operate
2017-08-03,1.0034,1.0034,-1.47,,,,,
2017-08-04,0.9967,0.9967,-0.67,,,,,
2017-08-07,0.9971,0.9971,0.04,,,,,
2017-08-08,0.9948,0.9948,-0.23,,,,,
2017-08-09,0.9794,0.9794,-1.55,,,,,
2017-08-10,0.9761,0.9761,-0.34,,,,,
2017-08-11,0.962,0.962,-1.44,,,,,
2017-08-14,0.9604,0.9604,-0.17,,,,,
2017-08-15,0.9733,0.9733,1.34,,,,,
2017-08-16,0.9669,0.9669,-0.66,0.98101,,,,
2017-08-17,0.9696,0.9696,0.28,0.97763,,,,
2017-08-18,0.9706,0.9706,0.1,0.97502,,,,
2017-08-21,0.9694,0.9694,-0.12,0.97225,,,,
2017-08-22,0.9761,0.9761,0.69,0.97038,,,,
2017-08-23,0.9906,0.9906,1.49,0.9715,,,,
2017-08-24,0.99,0.99,-0.06,0.97289,,,,
2017-08-25,1.0209,1.0209,3.12,0.97878,,,,
2017-08-28,1.0225,1.0225,0.16,0.98499,,,,
2017-08-29,1.0271,1.0271,0.45,0.99037,,,,
2017-08-30,1.0184,1.0184,-0.85,0.99552,0.988265,,,
2017-08-31,1.0076,1.0076,-1.06,0.99932,0.988475,,,
2017-09-01,1.0012,1.0012,-0.64,1.00238,0.9887,,,
2017-09-04,1.0103,1.0103,0.91,1.00647,0.98936,,,
2017-09-05,1.0187,1.0187,0.83,1.01073,0.990555,,,
2017-09-06,1.012,1.012,-0.66,1.01287,0.992185,,,
2017-09-07,1.0031,1.0031,-0.88,1.01418,0.993535,,,
2017-09-08,1.0032,1.0032,0.01,1.01241,0.995595,,,
2017-09-11,1.0022,1.0022,-0.1,1.01038,0.997685,,,
2017-09-12,1.0056,1.0056,0.34,1.00823,0.9993,,,
2017-09-13,0.9993,0.9993,-0.63,1.00632,1.0009200000000005,0.9942833333333334,,
2017-09-14,0.9925,0.9925,-0.68,1.00481,1.002065,0.99392,,
2017-09-15,0.9895,0.9895,-0.3,1.00364,1.0030100000000002,0.99368,,
2017-09-18,0.9873,0.9873,-0.22,1.00134,1.003905,0.9933533333333332,,
2017-09-19,0.9896,0.9896,0.23,0.99843,1.00458,0.99318,,
2017-09-20,0.9887,0.9887,-0.09,0.9961000000000002,1.004485,0.99349,,
2017-09-21,0.9953,0.9953,0.67,0.99532,1.00475,0.99413,,
2017-09-22,0.9955,0.9955,0.02,0.99455,1.00348,0.9952466666666666,,
2017-09-25,0.9978,0.9978,0.23,0.99411,1.002245,0.9964933333333332,,
2017-09-26,0.9942,0.9942,-0.36,0.99297,1.0006,0.99719,,
2017-09-27,0.9866,0.9866,-0.76,0.9917,0.99901,0.9978466666666668,,
2017-09-28,0.9846,0.9846,-0.2,0.99091,0.99786,0.9983466666666666,,
2017-09-29,0.9873,0.9873,0.27,0.99069,0.997165,0.9989033333333334,,
2017-10-09,0.997,0.997,0.98,0.99166,0.9965,0.9998233333333334,,
2017-10-10,1.0034,1.0034,0.64,0.99304,0.995735,1.0007333333333333,,
2017-10-11,1.005,1.005,0.16,0.99467,0.995385,1.0012133333333333,,
2017-10-12,1.0045,1.0045,-0.05,0.99559,0.995455,1.001696666666667,,
2017-10-13,1.0005,1.0005,-0.4,0.99609,0.99532,1.0010166666666669,,
2017-10-16,1.0105,1.0105,1.0,0.99736,0.995735,1.0006166666666667,,
2017-10-17,1.007,1.007,-0.35,0.99864,0.995805,0.9999466666666668,,
2017-10-18,1.0135,1.0135,0.65,1.00133,0.996515,0.9997833333333334,,
2017-10-19,1.0138,1.0138,0.03,1.00425,0.99758,0.99999,,
2017-10-20,1.0071,1.0071,-0.66,1.00623,0.99846,1.0001866666666668,,
2017-10-23,0.9974,0.9974,-0.96,1.00627,0.998965,0.9997566666666666,,
2017-10-24,1.0029,1.0029,0.55,1.00622,0.99963,0.99923,,
2017-10-25,1.0012,1.0012,-0.17,1.00584,1.000255,0.99887,,
2017-10-26,0.9926,0.9926,-0.86,1.00465,1.00012,0.99852,,
2017-10-27,1.0103,1.0103,1.78,1.00563,1.00086,0.9987566666666666,,
2017-10-30,1.0078,1.0078,-0.25,1.00536,1.00136,0.9989433333333334,,
2017-10-31,0.9983,0.9983,-0.94,1.00449,1.001565,0.9987,,
2017-11-01,0.992,0.992,-0.63,1.0023399999999998,1.001835,0.9984566666666664,0.99637,
2017-11-02,0.9929,0.9929,0.09,1.00025,1.00225,0.99847,0.996195,
2017-11-03,0.9929,0.9929,0.0,0.99883,1.00253,0.9985833333333332,0.9961316666666666,
2017-11-06,0.9831,0.9831,-0.99,0.9974,1.001835,0.9984433333333336,0.9958983333333332,
2017-11-07,0.9957,0.9957,1.28,0.99668,1.00145,0.9986466666666666,0.9959133333333334,
2017-11-08,0.9989,0.9989,0.32,0.99645,1.001145,0.9989866666666668,0.9962383333333332,
2017-11-09,0.9952,0.9952,-0.37,0.99671,1.00068,0.9989833333333332,0.9965566666666668,
2017-11-10,0.9903,0.9903,-0.49,0.99471,1.0001700000000002,0.99881,0.9970283333333332,
2017-11-13,1.0044,1.0044,1.42,0.99437,0.999865,0.99903,0.9977616666666668,
2017-11-14,1.0013,1.0013,-0.31,0.99467,0.99958,0.9992666666666667,0.9982283333333332,
2017-11-15,0.9993,0.9993,-0.2,0.9953999999999998,0.99887,0.99969,0.9987683333333334,
2017-11-16,0.9935,0.9935,-0.58,0.99546,0.997855,0.9999866666666668,0.9991666666666668,
2017-11-17,1.0214,1.0214,2.81,0.99831,0.99857,1.0011233333333334,1.0000133333333332,
2017-11-20,1.0377,1.0377,1.6,1.0037699999999998,1.000585,1.00248,1.0011516666666669,buy
2017-11-21,1.0419,1.0419,0.4,1.00839,1.002535,1.0037633333333331,1.0022483333333334,
2017-11-22,1.0667,1.0667,2.38,1.01517,1.00581,1.0058200000000002,1.0035166666666666,
2017-11-23,1.0517,1.0517,-1.41,1.02082,1.008765,1.0073933333333334,1.004545,
2017-11-24,1.0544,1.0544,0.26,1.02723,1.01097,1.00919,1.0051033333333337,
2017-11-27,1.0476,1.0476,-0.64,1.03155,1.01296,1.0104266666666668,1.0055216666666666,
2017-11-28,1.0327,1.0327,-1.42,1.03469,1.0146799999999998,1.011283333333333,1.005615,
2017-11-29,1.0343,1.0343,0.15,1.03819,1.016795,1.0119766666666667,1.00588,
2017-11-30,1.03,1.03,-0.42,1.04184,1.0186499999999998,1.0125166666666667,1.0062533333333332,
2017-12-01,1.0234,1.0234,-0.64,1.04204,1.020175,1.01306,1.0066233333333334,
2017-12-04,1.0253,1.0253,0.19,1.0408000000000002,1.022285,1.01399,1.0068733333333335,
2017-12-05,1.0432,1.0432,1.75,1.04093,1.02466,1.0153333333333334,1.0072816666666666,
2017-12-06,1.0321,1.0321,-1.06,1.03747,1.02632,1.0163633333333333,1.0076166666666666,
2017-12-07,1.0227,1.0227,-0.91,1.03457,1.027695,1.0173666666666668,1.0079433333333334,
2017-12-08,1.0213,1.0213,-0.14,1.03126,1.029245,1.0177333333333334,1.008245,
2017-12-11,1.0248,1.0248,0.34,1.0289800000000002,1.030265,1.0183,1.0086216666666667,
2017-12-12,1.0103,1.0103,-1.41,1.02674,1.030715,1.0187,1.0087,
