date,value,acc_value,up&down,10,20,30,60,operate
2021-03-01,0.9956,0.9956,2.01,,,,,
2021-03-02,0.9932,0.9932,-0.24,,,,,
2021-03-03,0.9986,0.9986,0.54,,,,,
2021-03-04,0.9643,0.9643,-3.43,,,,,
2021-03-05,0.9739,0.9739,1.0,,,,,
2021-03-08,0.9427,0.9427,-3.2,,,,,
2021-03-09,0.9121,0.9121,-3.25,,,,,
2021-03-10,0.9108,0.9108,-0.14,,,,,
2021-03-11,0.9251,0.9251,1.57,,,,,
2021-03-12,0.915,0.915,-1.09,0.95313,,,,
2021-03-15,0.8808,0.8808,-3.74,0.94165,,,,
2021-03-16,0.8864,0.8864,0.64,0.93097,,,,
2021-03-17,0.9028,0.9028,1.85,0.92139,,,,
2021-03-18,0.9076,0.9076,0.53,0.91572,,,,
2021-03-19,0.8858,0.8858,-2.4,0.90691,,,,
2021-03-22,0.9009,0.9009,1.7,0.90273,,,,
2021-03-23,0.8933,0.8933,-0.84,0.90085,,,,
2021-03-24,0.8728,0.8728,-2.29,0.8970499999999999,,,,
2021-03-25,0.8786,0.8786,0.66,0.8924,,,,
2021-03-26,0.9044,0.9044,2.94,0.8913400000000001,0.922235,,,
2021-03-29,0.8936,0.8936,-1.19,0.89262,0.917135,,,
2021-03-30,0.9009,0.9009,0.82,0.8940699999999999,0.91252,,,
2021-03-31,0.8996,0.8996,-0.14,0.89375,0.90757,,,
2021-04-01,0.9148,0.9148,1.69,0.8944699999999999,0.905095,,,
2021-04-02,0.9343,0.9343,2.13,0.89932,0.903115,,,
2021-04-06,0.9348,0.9348,0.05,0.90271,0.90272,,,
2021-04-07,0.9284,0.9284,-0.68,0.90622,0.903535,,,
2021-04-08,0.9318,0.9318,0.37,0.91212,0.9045850000000002,,,
2021-04-09,0.9142,0.9142,-1.89,0.91568,0.90404,,,
2021-04-12,0.8917,0.8917,-2.46,0.91441,0.902875,0.9196266666666666,,
2021-04-13,0.8906,0.8906,-0.12,0.91411,0.9033650000000002,0.9161266666666668,,
2021-04-14,0.9075,0.9075,1.9,0.91477,0.90442,0.91327,,
2021-04-15,0.9083,0.9083,0.09,0.91564,0.904695,0.91026,,
2021-04-16,0.9162,0.9162,0.87,0.91578,0.9051250000000002,0.9086566666666668,,
2021-04-19,0.9625,0.9625,5.05,0.9186,0.90896,0.9082766666666668,,
2021-04-20,0.9479,0.9479,-1.52,0.91991,0.91131,0.90845,,
2021-04-21,0.9365,0.9365,-1.2,0.92072,0.91347,0.9092633333333332,,
2021-04-22,0.9384,0.9384,0.2,0.92138,0.91675,0.9101833333333336,,
2021-04-23,0.9354,0.9354,-0.32,0.9235,0.9195899999999998,0.9105266666666668,,
2021-04-26,0.9276,0.9276,-0.83,0.92709,0.92075,0.9109466666666666,,
2021-04-27,0.9252,0.9252,-0.26,0.93055,0.92233,0.9124266666666668,,
2021-04-28,0.9385,0.9385,1.44,0.93365,0.92421,0.9141633333333332,,
2021-04-29,0.9362,0.9362,-0.25,0.93644,0.92604,0.9152766666666668,,
2021-04-30,0.9314,0.9314,-0.51,0.93796,0.92687,0.91607,,
2021-05-06,0.9235,0.9235,-0.85,0.93406,0.92633,0.9173266666666666,,
2021-05-07,0.8958,0.8958,-3.0,0.92885,0.92438,0.9171566666666666,,
2021-05-10,0.8755,0.8755,-2.27,0.92275,0.9217350000000002,0.9165633333333332,,
2021-05-11,0.8735,0.8735,-0.23,0.91626,0.91882,0.9165866666666668,,
2021-05-12,0.8789,0.8789,0.62,0.91061,0.917055,0.9165966666666666,,
2021-05-13,0.871,0.871,-0.9,0.90495,0.91602,0.9154833333333332,,
2021-05-14,0.89,0.89,2.18,0.90143,0.91599,0.9153633333333332,,
2021-05-17,0.9209,0.9209,3.47,0.8996700000000001,0.91666,0.91603,,
2021-05-18,0.9208,0.9208,-0.01,0.8981300000000001,0.917285,0.9167366666666666,,
2021-05-19,0.9318,0.9318,1.19,0.89817,0.918065,0.9173033333333334,,
2021-05-20,0.9414,0.9414,1.03,0.8999600000000001,0.91701,0.91754,,
2021-05-21,0.9295,0.9295,-1.26,0.90333,0.91609,0.9173633333333334,,
2021-05-24,0.9398,0.9398,1.11,0.90976,0.9162550000000002,0.9177433333333336,,
2021-05-25,0.9596,0.9596,2.11,0.91837,0.917315,0.91867,,
2021-05-26,0.9564,0.9564,-0.33,0.92612,0.918365,0.9200766666666668,,
2021-05-27,0.9698,0.9698,1.4,0.936,0.920475,0.92268,0.9211533333333332,
2021-05-28,0.9724,0.9724,0.27,0.94424,0.922835,0.9254066666666668,0.9207666666666666,buy
2021-05-31,0.9946,0.9946,2.28,0.95161,0.92564,0.92831,0.92079,
2021-06-01,0.9946,0.9946,0.0,0.95899,0.9285599999999998,0.9311866666666668,0.9207233333333332,
