date,value,acc_value,up&down,10,20,30,60,operate
2017-01-18,0.9975,0.9975,-0.24,,,,,
2017-01-19,0.9994,0.9994,0.19,,,,,
2017-01-20,0.9967,0.9967,-0.27,,,,,
2017-01-23,1.0042,1.0042,0.75,,,,,
2017-01-24,1.0116,1.0116,0.74,,,,,
2017-01-25,1.0237,1.0237,1.2,,,,,
2017-01-26,1.0207,1.0207,-0.29,,,,,
2017-02-03,1.0164,1.0164,-0.42,,,,,
2017-02-06,1.0266,1.0266,1.0,,,,,
2017-02-07,1.027,1.027,0.04,1.0123799999999998,,,,
2017-02-08,1.0433,1.0433,1.59,1.01696,,,,
2017-02-09,1.0413,1.0413,-0.19,1.02115,,,,
2017-02-10,1.0464,1.0464,0.49,1.02612,,,,
2017-02-13,1.0525,1.0525,0.58,1.03095,,,,
2017-02-14,1.0442,1.0442,-0.79,1.03421,,,,
2017-02-15,1.0519,1.0519,0.74,1.03703,,,,
2017-02-16,1.0678,1.0678,1.51,1.04174,,,,
2017-02-17,1.0618,1.0618,-0.56,1.04628,,,,
2017-02-22,1.0896,1.0896,1.37,1.05258,,,,
2017-02-23,1.0775,1.0775,-1.11,1.05763,1.035005,,,
2017-02-24,1.063,1.063,-1.35,1.0596,1.03828,,,
2017-02-27,1.0659,1.0659,0.27,1.06206,1.041605,,,
2017-02-28,1.061,1.061,-0.46,1.06352,1.04482,,,
2017-03-01,1.0685,1.0685,0.71,1.0651199999999998,1.048035,,,
2017-03-02,1.0605,1.0605,-0.75,1.06675,1.05048,,,
2017-03-03,1.063,1.063,0.24,1.06786,1.052445,,,
2017-03-06,1.0581,1.0581,-0.46,1.06689,1.054315,,,
2017-03-07,1.0668,1.0668,0.82,1.06739,1.056835,,,
2017-03-08,1.0746,1.0746,0.73,1.06589,1.059235,,,
2017-03-09,1.0692,1.0692,-0.5,1.06506,1.061345,1.0450233333333334,,
2017-03-10,1.0742,1.0742,0.47,1.06618,1.06289,1.0475800000000002,,
2017-03-13,1.0863,1.0863,1.13,1.0682200000000002,1.06514,1.0504766666666667,,
2017-03-14,1.0846,1.0846,-0.16,1.07058,1.06705,1.0534066666666666,,
2017-03-15,1.0816,1.0816,-0.28,1.0718900000000002,1.0685049999999998,1.0559866666666666,,
2017-03-16,1.0958,1.0958,1.31,1.0754199999999998,1.0710849999999998,1.0587933333333333,,
2017-03-17,1.1001,1.1001,0.39,1.07913,1.073495,1.06134,,
2017-03-20,1.1141,1.1141,1.27,1.08473,1.0758100000000002,1.0644533333333337,,
2017-03-21,1.0899,1.0899,-2.17,1.08704,1.077215,1.066903333333333,,
2017-03-22,1.0874,1.0874,-0.23,1.08832,1.077105,1.0689299999999995,,
2017-03-23,1.0934,1.0934,0.55,1.0907399999999998,1.0779,1.0711433333333331,,
2017-03-24,1.0962,1.0962,0.26,1.09294,1.07956,1.072906666666667,,
2017-03-27,1.0943,1.0943,-0.17,1.09374,1.0809799999999998,1.0746733333333334,,
2017-03-28,1.0976,1.0976,0.3,1.0950400000000002,1.0828099999999998,1.07638,,
2017-03-29,1.1062,1.1062,0.78,1.0975,1.084695,1.07817,,
2017-03-30,1.1015,1.1015,-0.42,1.09807,1.086745,1.08008,,
2017-03-31,1.0968,1.0968,-0.43,1.09774,1.088435,1.0815766666666666,,
2017-04-05,1.0974,1.0974,0.05,1.09607,1.0904,1.082563333333333,,
2017-04-06,1.1035,1.1035,0.56,1.09743,1.092235,1.083953333333333,,
2017-04-07,1.1042,1.1042,0.06,1.09911,1.093715,1.08444,,
2017-04-10,1.1148,1.1148,0.96,1.10125,1.0959949999999998,1.0856833333333331,,
2017-04-11,1.1022,1.1022,-1.13,1.10185,1.097395,1.08699,,
2017-04-12,1.1082,1.1082,0.54,1.10324,1.09849,1.0884,,
2017-04-13,1.0998,1.0998,-0.76,1.10346,1.09925,1.0896933333333332,,
2017-04-19,1.1081,1.1081,0.22,1.10365,1.100575,1.0910133333333332,,
2017-04-20,1.1275,1.1275,1.75,1.10625,1.10216,1.0932466666666667,,
2017-04-21,1.1322,1.1322,0.42,1.10979,1.103765,1.0955533333333334,,
2017-04-24,1.1418,1.1418,0.85,1.11423,1.10515,1.0983433333333332,,
2017-04-25,1.1661,1.1661,2.13,1.1204900000000002,1.10896,1.1016533333333334,,
2017-04-26,1.1602,1.1602,-0.51,1.12609,1.1126,1.1045066666666663,,
2017-04-27,1.171,1.171,0.93,1.13171,1.11648,1.1079,1.0764616666666669,
2017-04-28,1.1607,1.1607,-0.88,1.13756,1.1197050000000002,1.1107833333333332,1.0791816666666667,buy
2017-05-02,1.1753,1.1753,1.26,1.14427,1.123755,1.1137499999999998,1.0821133333333333,
2017-05-05,1.165,1.165,0.25,1.15079,1.127125,1.1164300000000005,1.0849183333333334,
2017-05-08,1.1824,1.1824,1.49,1.15822,1.130935,1.1197899999999998,1.0878883333333331,
2017-05-09,1.2104,1.2104,2.37,1.1665100000000002,1.1363800000000002,1.1236099999999998,1.0912016666666666,
