date,value,acc_value,up&down,10,20,30,60,operate
2022-07-28,0.9906,0.9906,-0.53,,,,,
2022-07-29,0.9691,0.9691,-2.17,,,,,
2022-08-01,0.9664,0.9664,-0.28,,,,,
2022-08-02,0.9365,0.9365,-3.09,,,,,
2022-08-03,0.9467,0.9467,1.09,,,,,
2022-08-04,0.9601,0.9601,1.42,,,,,
2022-08-05,0.9692,0.9692,0.95,,,,,
2022-08-08,0.9774,0.9774,0.85,,,,,
2022-08-09,0.9662,0.9662,-1.15,,,,,
2022-08-10,0.9549,0.9549,-1.17,0.96371,,,,
2022-08-11,0.9734,0.9734,1.94,0.96199,,,,
2022-08-12,0.9761,0.9761,0.28,0.96269,,,,
2022-08-15,0.9704,0.9704,-0.58,0.96309,,,,
2022-08-16,0.9687,0.9687,-0.18,0.96631,,,,
2022-08-17,0.9693,0.9693,0.06,0.96857,,,,
2022-08-18,0.9598,0.9598,-0.98,0.9685400000000002,,,,
2022-08-19,0.9532,0.9532,-0.69,0.96694,,,,
2022-08-22,0.9643,0.9643,1.16,0.9656300000000002,,,,
2022-08-23,0.9604,0.9604,-0.4,0.96505,,,,
2022-08-24,0.9469,0.9469,-1.41,0.96425,0.96398,,,
2022-08-25,0.9462,0.9462,-0.07,0.96153,0.96176,,,
2022-08-26,0.9509,0.9509,0.5,0.95901,0.96085,,,
2022-08-29,0.9518,0.9518,0.09,0.95715,0.96012,,,
2022-08-30,0.947,0.947,-0.5,0.95498,0.960645,,,
2022-08-31,0.9442,0.9442,-0.3,0.95247,0.96052,,,
2022-09-01,0.9453,0.9453,0.12,0.95102,0.95978,,,
2022-09-02,0.945,0.945,-0.03,0.9502,0.95857,,,
2022-09-05,0.9364,0.9364,-0.91,0.94741,0.95652,,,
2022-09-06,0.9457,0.9457,0.99,0.94594,0.9554950000000002,,,
2022-09-07,0.9391,0.9391,-0.7,0.94516,0.954705,0.9577066666666668,,
2022-09-08,0.9379,0.9379,-0.13,0.94433,0.95293,0.95595,,
2022-09-09,0.9455,0.9455,0.81,0.94379,0.9514,0.9551633333333333,,
2022-09-13,0.952,0.952,0.69,0.9438099999999998,0.95048,0.9546833333333332,,
2022-09-14,0.9444,0.9444,-0.8,0.94355,0.949265,0.9549466666666666,,
2022-09-15,0.9326,0.9326,-1.25,0.94239,0.94743,0.9544766666666666,,
2022-09-16,0.9087,0.9087,-2.56,0.93873,0.944875,0.9527633333333332,,
2022-09-19,0.899,0.899,-1.07,0.93413,0.942165,0.9504233333333334,,
2022-09-20,0.9086,0.9086,1.07,0.93135,0.93938,0.94813,,
2022-09-21,0.9023,0.9023,-0.69,0.92701,0.936475,0.946,,
2022-09-22,0.883,0.883,-2.14,0.9214,0.93328,0.9436033333333332,,
2022-09-23,0.8762,0.8762,-0.77,0.91523,0.92978,0.9403633333333334,,
2022-09-26,0.862,0.862,-1.62,0.90688,0.925335,0.93656,,
2022-09-27,0.8942,0.8942,3.74,0.9011,0.922455,0.93402,,
2022-09-28,0.888,0.888,-0.69,0.8954600000000001,0.9195049999999998,0.93133,,
2022-09-29,0.8908,0.8908,0.32,0.8912800000000001,0.916835,0.9287133333333332,,
2022-09-30,0.9028,0.9028,1.35,0.89069,0.91471,0.9268133333333334,,
2022-10-10,0.8978,0.8978,-0.55,0.89057,0.91235,0.9249666666666666,,
2022-10-11,0.8964,0.8964,-0.16,0.88935,0.91035,0.9227033333333332,,
2022-10-12,0.9093,0.9093,1.44,0.8900500000000001,0.90853,0.921,,
2022-10-13,0.9242,0.9242,1.64,0.8941699999999999,0.907785,0.9202433333333334,,
2022-10-14,0.959,0.959,3.77,0.90245,0.90884,0.92067,,
2022-10-17,0.9663,0.9663,0.76,0.91288,0.90988,0.9211833333333334,,
2022-10-18,1.0037,1.0037,3.87,0.92383,0.912465,0.9229133333333334,,
2022-10-19,0.9825,0.9825,-2.11,0.93328,0.91437,0.9240966666666668,,
2022-10-20,0.9836,0.9836,0.11,0.94256,0.91692,0.92541,,
2022-10-21,0.9967,0.9967,1.33,0.95195,0.92132,0.9271233333333334,,
2022-10-24,0.9843,0.9843,-1.24,0.9606,0.925585,0.9284333333333332,,
2022-10-25,0.9636,0.9636,-2.1,0.96732,0.928335,0.92934,,
2022-10-26,1.007,1.007,4.5,0.97709,0.93357,0.9313833333333332,,
2022-10-27,1.0468,1.0468,3.95,0.98935,0.94176,0.9349733333333332,0.94634,
2022-10-28,1.0129,1.0129,-3.24,0.99474,0.948595,0.9374733333333332,0.9467116666666668,
2022-10-31,1.0292,1.0292,1.61,1.00103,0.956955,0.9402633333333336,0.9477133333333332,
2022-11-01,1.0439,1.0439,1.43,1.00505,0.96444,0.9433266666666664,0.949005,buy
2022-11-02,1.0505,1.0505,0.63,1.01185,0.972565,0.9468633333333332,0.950905,
2022-11-03,1.0435,1.0435,-0.67,1.01784,0.9802,0.95056,0.9525183333333334,
2022-11-04,1.0591,1.0591,1.49,1.02408,0.988015,0.9555733333333334,0.9541683333333334,
2022-11-07,1.0556,1.0556,-0.33,1.03121,0.995905,0.9607933333333332,0.9556083333333334,
2022-11-08,1.0608,1.0608,0.49,1.04093,1.004125,0.9658666666666668,0.9569983333333332,
