date,value,acc_value,up&down,10,20,30,60,operate
2013-03-15,0.9699,0.9699,0.18,,,,,
2013-03-18,0.9575,0.9575,-1.28,,,,,
2013-03-19,0.9605,0.9605,0.31,,,,,
2013-03-20,0.9851,0.9851,2.56,,,,,
2013-03-21,0.9954,0.9954,1.05,,,,,
2013-03-22,0.9995,0.9995,0.41,,,,,
2013-03-25,0.9963,0.9963,-0.32,,,,,
2013-03-26,0.9894,0.9894,-0.69,,,,,
2013-03-27,0.9917,0.9917,0.23,,,,,
2013-03-28,0.9631,0.9631,-2.88,0.98084,,,,
2013-03-29,0.9626,0.9626,-0.05,0.9801099999999998,,,,
2013-04-01,0.9691,0.9691,0.68,0.98127,,,,
2013-04-02,0.9573,0.9573,-1.22,0.98095,,,,
2013-04-03,0.9487,0.9487,-0.9,0.9773100000000001,,,,
2013-04-08,0.9525,0.9525,0.4,0.97302,,,,
2013-04-09,0.9618,0.9618,0.98,0.96925,,,,
2013-04-10,0.9598,0.9598,-0.21,0.9655999999999999,,,,
2013-04-11,0.9559,0.9559,-0.41,0.96225,,,,
2013-04-12,0.9478,0.9478,-0.85,0.9578599999999999,,,,
2013-04-15,0.9345,0.9345,-1.4,0.9549999999999998,0.96792,,,
2013-04-16,0.9446,0.9446,1.08,0.9531999999999998,0.966655,,,
2013-04-17,0.9529,0.9529,0.88,0.9515800000000001,0.9664250000000001,,,
2013-04-18,0.9558,0.9558,0.3,0.95143,0.9661900000000001,,,
2013-04-19,0.976,0.976,2.11,0.9541599999999999,0.9657349999999999,,,
2013-04-22,0.9805,0.9805,0.46,0.9569600000000001,0.9649899999999999,,,
2013-04-23,0.954,0.954,-2.7,0.95618,0.962715,,,
2013-04-24,0.973,0.973,1.99,0.9575000000000001,0.9615499999999999,,,
2013-04-25,0.9582,0.9582,-1.52,0.95773,0.95999,,,
2013-04-26,0.9428,0.9428,-1.61,0.95723,0.957545,,,
2013-05-02,0.9471,0.9471,0.46,0.9584900000000001,0.9567450000000001,0.9647766666666667,,
2013-05-03,0.9656,0.9656,1.95,0.96059,0.9568949999999999,0.9646333333333333,,
2013-05-06,0.9838,0.9838,1.88,0.9636799999999999,0.9576300000000002,0.9655100000000001,,
2013-05-07,0.9859,0.9859,0.21,0.96669,0.95906,0.9663566666666666,,
2013-05-08,0.9949,0.9949,0.91,0.96858,0.96137,0.9666833333333333,,
2013-05-09,0.9955,0.9955,0.06,0.9700799999999999,0.9635199999999999,0.9666866666666666,,
2013-05-10,1.0018,1.0018,0.63,0.97486,0.9655199999999999,0.9667633333333333,,
2013-05-13,1.0056,1.0056,0.38,0.97812,0.9678100000000001,0.9670733333333333,,
2013-05-14,0.9944,0.9944,-1.11,0.98174,0.969735,0.96724,,
2013-05-15,1.0077,1.0077,1.34,0.98823,0.97273,0.9677733333333334,,
2013-05-16,1.018,1.018,1.02,0.9953200000000001,0.976905,0.9696033333333334,,
2013-05-17,1.0335,1.0335,1.52,1.00211,0.98135,0.9719666666666666,,
2013-05-20,1.0462,1.0462,1.23,1.00835,0.9860149999999999,0.9745366666666667,,
2013-05-21,1.0598,1.0598,1.3,1.0157399999999999,0.9912150000000001,0.9779533333333335,,
2013-05-22,1.0516,1.0516,-0.77,1.02141,0.9949950000000001,0.9813833333333334,,
2013-05-23,1.0428,1.0428,-0.84,1.02614,0.9981100000000002,0.9843933333333333,,
2013-05-24,1.0591,1.0591,1.56,1.03187,1.003365,0.9876366666666666,,
2013-05-27,1.0699,1.0699,1.02,1.0383,1.00821,0.9913066666666667,,
2013-05-28,1.0721,1.0721,0.21,1.04607,1.013905,0.9951800000000001,,
2013-05-29,1.0802,1.0802,0.76,1.0533199999999998,1.020775,0.9995933333333333,,
2013-05-30,1.0829,1.0829,0.25,1.0598100000000001,1.027565,1.00454,,
2013-05-31,1.0763,1.0763,-0.61,1.06409,1.0331000000000001,1.00893,,
2013-06-03,1.0691,1.0691,-0.67,1.06638,1.0373649999999999,1.0128033333333333,,
2013-06-04,1.0483,1.0483,-1.95,1.0652300000000001,1.040485,1.0158866666666666,,
2013-06-05,1.0527,1.0527,0.42,1.06534,1.043375,1.0184433333333334,,
2013-06-06,1.0344,1.0344,-1.74,1.0645,1.04532,1.02024,,
2013-06-07,1.0142,1.0142,-1.95,1.06001,1.04594,1.0222466666666667,,
2013-06-13,0.986,0.986,-2.78,1.0516200000000002,1.04496,1.02268,,
2013-06-14,1.0057,1.0057,2.0,1.04498,1.045525,1.0242633333333333,,
2013-06-17,1.0081,1.0081,0.24,1.03777,1.0455450000000002,1.02644,,
2013-06-18,1.0119,1.0119,0.38,1.03067,1.0452400000000002,1.0286,0.9966883333333333,
2013-06-19,1.0059,1.0059,-0.59,1.02363,1.04386,1.0299433333333334,0.9972883333333333,
2013-06-20,0.9729,0.9729,-3.28,1.01401,1.0401950000000002,1.02958,0.997545,
2013-06-21,0.968,0.968,-0.5,1.00598,1.0356049999999999,1.0289833333333334,0.99767,
2013-06-24,0.9083,0.9083,-6.17,0.99154,1.02844,1.0260966666666667,0.99639,
2013-06-25,0.9046,0.9046,-0.41,0.9785600000000001,1.0215299999999998,1.0230666666666666,0.9948766666666666,
2013-06-26,0.9234,0.9234,2.08,0.9694800000000001,1.014745,1.0204533333333334,0.9936083333333333,
2013-06-27,0.9086,0.9086,-1.6,0.96174,1.00668,1.01722,0.9921466666666667,
2013-06-28,0.9095,0.9095,0.1,0.9521200000000001,0.9985499999999998,1.01439,0.990815,
2013-06-30,0.9095,0.9095,0.0,0.9422599999999999,0.990015,1.0111166666666667,0.989445,
2013-07-01,0.9266,0.9266,1.88,0.93373,0.9822,1.00807,0.9888366666666666,
2013-07-02,0.9416,0.9416,1.62,0.9273,0.975465,1.0050066666666668,0.9884866666666666,
2013-07-03,0.9431,0.9431,0.16,0.92432,0.9691649999999999,1.00157,0.9880533333333333,
2013-07-04,0.9506,0.9506,0.8,0.92258,0.9642799999999999,0.99793,0.9879416666666666,
2013-07-05,0.9454,0.9454,-0.55,0.9262900000000001,0.958915,0.9943899999999999,0.9878866666666667,
2013-07-08,0.9089,0.9089,-3.86,0.9267200000000001,0.9526399999999999,0.9899266666666666,0.98716,
2013-07-09,0.9143,0.9143,0.59,0.9258099999999999,0.947645,0.9851,0.9863683333333333,
2013-07-10,0.9429,0.9429,3.13,0.9292399999999998,0.94549,0.9808666666666668,0.9860866666666667,
2013-07-11,0.9694,0.9694,2.81,0.93523,0.943675,0.9774433333333333,0.9863116666666667,
2013-07-12,0.9609,0.9609,-0.88,0.94037,0.941315,0.9734666666666667,0.9865299999999999,
2013-07-15,0.9803,0.9803,2.02,0.94574,0.939735,0.9700466666666666,0.9872933333333334,
2013-07-16,0.9925,0.9925,1.24,0.9508300000000001,0.9390649999999999,0.9672533333333333,0.9880916666666668,
2013-07-17,0.9782,0.9782,-1.44,0.95434,0.93933,0.9642233333333333,0.9885133333333334,
2013-07-18,0.9772,0.9772,-0.1,0.9570000000000001,0.93979,0.9618533333333333,0.98887,
2013-07-19,0.9529,0.9529,-2.49,0.9577500000000001,0.94202,0.9585266666666666,0.9884850000000001,
2013-07-22,0.9716,0.9716,1.96,0.96402,0.9453699999999999,0.9564333333333332,0.9883366666666668,
2013-07-23,0.9951,0.9951,2.42,0.9721,0.948955,0.9557966666666666,0.9890216666666667,
2013-07-24,1.001,1.001,0.59,0.97791,0.9535750000000001,0.9562966666666667,0.9894883333333334,
2013-07-25,0.982,0.982,-1.9,0.9791700000000001,0.9571999999999999,0.9555066666666666,0.989885,
2013-07-26,0.9809,0.9809,-0.11,0.98117,0.9607699999999999,0.9545999999999999,0.99052,
2013-07-29,0.962,0.962,-1.93,0.97934,0.96254,0.9529366666666665,0.9907683333333334,
2013-07-30,0.9577,0.9577,-0.45,0.97586,0.963345,0.95133,0.9906366666666666,
2013-07-31,0.963,0.963,0.55,0.97434,0.96434,0.951,0.99029,
2013-08-01,0.9884,0.9884,2.64,0.97546,0.96623,0.95168,0.9903316666666666,
2013-08-02,0.9919,0.9919,0.35,0.97936,0.9685549999999999,0.9544666666666667,0.9902816666666666,
2013-08-05,1.0084,1.0084,1.66,0.9830399999999999,0.97353,0.9579266666666667,0.9904966666666667,
2013-08-06,1.0192,1.0192,1.07,0.9854499999999999,0.9787750000000001,0.96112,0.9907866666666666,
2013-08-07,1.0094,1.0094,-0.96,0.9862900000000001,0.9821,0.96448,0.99085,
2013-08-08,1.0121,1.0121,0.27,0.9893000000000001,0.984235,0.9679000000000001,0.9911449999999999,
2013-08-09,1.0158,1.0158,0.37,0.99279,0.98698,0.9714433333333333,0.9912799999999999,
2013-08-12,1.032,1.032,1.59,0.99979,0.989565,0.9749566666666667,0.9915133333333334,
2013-08-13,1.0374,1.0374,0.52,1.00776,0.9918100000000001,0.97815,0.9915783333333333,
2013-08-14,1.0334,1.0334,-0.39,1.0148,0.9945700000000001,0.9811600000000001,0.991365,
2013-08-15,1.0194,1.0194,-1.35,1.0179,0.9966799999999999,0.9834533333333333,0.9906916666666666,
2013-08-16,0.9978,0.9978,-2.12,1.0184900000000001,0.9989250000000001,0.9852000000000001,0.9897949999999999,
2013-08-19,1.0131,1.0131,1.53,1.01896,1.0010000000000001,0.9886733333333334,0.9893,
2013-08-20,1.0105,1.0105,-0.26,1.0180900000000002,1.00177,0.99188,0.98849,
2013-08-21,1.0183,1.0183,0.77,1.01898,1.002635,0.9943933333333332,0.98763,
2013-08-22,1.0209,1.0209,0.26,1.01986,1.00458,0.9961099999999999,0.9867766666666667,
2013-08-23,1.0185,1.0185,-0.24,1.02013,1.0064600000000001,0.99803,0.9857483333333333,
2013-08-26,1.0396,1.0396,2.07,1.02089,1.01034,1.0000066666666667,0.9850266666666667,
2013-08-27,1.0476,1.0476,0.77,1.02191,1.014835,1.0018433333333332,0.9845483333333332,
2013-08-28,1.0397,1.0397,-0.75,1.02254,1.0186700000000002,1.0038933333333333,0.9840583333333334,
2013-08-29,1.0389,1.0389,-0.08,1.02449,1.021195,1.00595,0.9839016666666667,
2013-08-30,1.0285,1.0285,-1.0,1.0275599999999998,1.023025,1.00847,0.9834983333333334,
2013-09-02,1.0357,1.0357,0.7,1.02982,1.02439,1.0106066666666667,0.9835200000000001,
2013-09-03,1.0511,1.0511,1.49,1.03388,1.025985,1.0124733333333333,0.984135,
2013-09-04,1.054,1.054,0.28,1.03745,1.0282149999999999,1.01424,0.9852683333333334,
2013-09-05,1.056,1.056,0.19,1.04096,1.03041,1.0167066666666666,0.9861066666666666,
2013-09-06,1.0645,1.0645,0.8,1.04556,1.032845,1.0194933333333334,0.9870466666666666,
2013-09-09,1.0754,1.0754,1.02,1.04914,1.035015,1.0232733333333335,0.9881050000000001,
2013-09-10,1.0863,1.0863,1.01,1.05301,1.0374599999999998,1.02756,0.989445,
2013-09-11,1.076,1.076,-0.95,1.05664,1.03959,1.0313266666666667,0.9911633333333334,
2013-09-12,1.079,1.079,0.28,1.06065,1.04257,1.0343466666666667,0.9930133333333333,
2013-09-13,1.0803,1.0803,0.12,1.06583,1.0466950000000002,1.0372933333333334,0.99588,
2013-09-16,1.0815,1.0815,0.11,1.07041,1.050115,1.03973,0.9988283333333333,
2013-09-17,1.0624,1.0624,-1.77,1.0715400000000002,1.05271,1.04117,1.001145,
2013-09-18,1.0725,1.0725,0.95,1.07339,1.0554200000000002,1.0432733333333333,1.0038766666666665,
2013-09-23,1.0941,1.0941,2.01,1.0772,1.05908,1.0460066666666665,1.0069533333333334,
2013-09-24,1.0951,1.0951,0.09,1.08026,1.06291,1.04865,1.0100466666666665,
2013-09-25,1.0911,1.0911,-0.37,1.08183,1.065485,1.0506199999999999,1.0127883333333334,
2013-09-26,1.0684,1.0684,-2.08,1.08004,1.066525,1.0516533333333333,1.0149016666666666,
2013-09-27,1.0725,1.0725,0.38,1.07969,1.068165,1.0529566666666665,1.0170583333333334,
2013-09-30,1.0865,1.0865,1.31,1.0804399999999998,1.070545,1.0551933333333334,1.0193233333333334,
2013-10-08,1.1046,1.1046,1.67,1.08287,1.07435,1.0587533333333332,1.0219766666666668,
2013-10-09,1.1166,1.1166,1.09,1.08638,1.078395,1.0622033333333334,1.0254383333333332,
2013-10-10,1.1106,1.1106,-0.54,1.0912,1.08137,1.06554,1.02871,
2013-10-11,1.1294,1.1294,1.69,1.09689,1.08514,1.0692433333333333,1.0318183333333333,
2013-10-14,1.141,1.141,1.03,1.10158,1.08939,1.0732466666666667,1.0346783333333334,
2013-10-15,1.1426,1.1426,0.14,1.10633,1.093295,1.0773833333333334,1.0377066666666668,
2013-10-16,1.1115,1.1115,-2.72,1.10837,1.0951,1.07978,1.0398933333333333,
2013-10-17,1.1097,1.1097,-0.16,1.1125,1.09627,1.08185,1.0418466666666666,
