净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态
2020-03-04,1.1301,1.1301,0.89,场内买入,场内卖出
2020-03-05,1.1866,1.1866,5.0,场内买入,场内卖出
2020-03-06,1.1624,1.1624,-2.04,场内买入,场内卖出
2020-03-09,1.1186,1.1186,-3.77,场内买入,场内卖出
2020-03-10,1.1496,1.1496,2.77,场内买入,场内卖出
2020-03-11,1.1459,1.1459,-0.32,场内买入,场内卖出
2020-03-12,1.1195,1.1195,-2.3,场内买入,场内卖出
2020-03-13,1.0993,1.0993,-1.8,场内买入,场内卖出
2020-03-16,1.0562,1.0562,-3.92,场内买入,场内卖出
2020-03-17,1.0348,1.0348,-2.03,场内买入,场内卖出
2020-03-18,1.0081,1.0081,-2.58,场内买入,场内卖出
2020-03-19,0.9754,0.9754,-3.24,场内买入,场内卖出
2020-03-20,1.0053,1.0053,3.07,场内买入,场内卖出
2020-03-23,0.9757,0.9757,-2.94,场内买入,场内卖出
2020-03-24,1.0184,1.0184,4.38,场内买入,场内卖出
2020-03-25,1.0484,1.0484,2.95,场内买入,场内卖出
2020-03-26,1.0503,1.0503,0.18,场内买入,场内卖出
2020-03-27,1.0734,1.0734,2.2,场内买入,场内卖出
2020-03-30,1.0593,1.0593,-1.31,场内买入,场内卖出
2020-03-31,1.0756,1.0756,1.54,场内买入,场内卖出
2020-04-01,1.0668,1.0668,-0.82,场内买入,场内卖出
2020-04-02,1.0787,1.0787,1.12,场内买入,场内卖出
2020-04-03,1.0748,1.0748,-0.36,场内买入,场内卖出
2020-04-07,1.1024,1.1024,2.57,场内买入,场内卖出
2020-04-08,1.0994,1.0994,-0.27,场内买入,场内卖出
2020-04-09,1.1107,1.1107,1.03,场内买入,场内卖出
2020-04-10,1.121,1.121,0.93,场内买入,场内卖出
2020-04-13,1.1202,1.1202,-0.07,场内买入,场内卖出
2020-04-14,1.1336,1.1336,1.2,场内买入,场内卖出
2020-04-15,1.1276,1.1276,-0.53,场内买入,场内卖出
2020-04-16,1.1187,1.1187,-0.79,场内买入,场内卖出
2020-04-17,1.1307,1.1307,1.07,场内买入,场内卖出
2020-04-20,1.1419,1.1419,0.99,场内买入,场内卖出
2020-04-21,1.1174,1.1174,-2.15,场内买入,场内卖出
2020-04-22,1.1487,1.1487,2.8,场内买入,场内卖出
2020-04-23,1.1511,1.1511,0.21,场内买入,场内卖出
2020-04-24,1.1701,1.1701,1.65,场内买入,场内卖出
2020-04-27,1.1599,1.1599,-0.87,场内买入,场内卖出
2020-04-28,1.19,1.19,2.6,场内买入,场内卖出
2020-04-29,1.1765,1.1765,-1.13,场内买入,场内卖出
2020-04-30,1.1834,1.1834,0.59,场内买入,场内卖出
2020-05-06,1.1961,1.1961,1.07,场内买入,场内卖出
2020-05-07,1.2107,1.2107,1.22,场内买入,场内卖出
2020-05-08,1.2237,1.2237,1.07,场内买入,场内卖出
2020-05-11,1.229,1.229,0.43,场内买入,场内卖出
2020-05-12,1.2347,1.2347,0.46,场内买入,场内卖出
2020-05-13,1.2714,1.2714,2.97,场内买入,场内卖出
2020-05-14,1.2729,1.2729,0.12,场内买入,场内卖出
2020-05-15,1.2579,1.2579,-1.18,场内买入,场内卖出
2020-05-18,1.2907,1.2907,2.61,场内买入,场内卖出
2020-05-19,1.301,1.301,0.8,场内买入,场内卖出
2020-05-20,1.2893,1.2893,-0.9,场内买入,场内卖出
2020-05-21,1.2991,1.2991,0.76,场内买入,场内卖出
2020-05-22,1.2581,1.2581,-3.16,场内买入,场内卖出
2020-05-25,1.2828,1.2828,1.96,场内买入,场内卖出
2020-05-26,1.3,1.3,1.34,场内买入,场内卖出
2020-05-27,1.2929,1.2929,-0.55,场内买入,场内卖出
2020-05-28,1.3067,1.3067,1.07,场内买入,场内卖出
2020-05-29,1.3279,1.3279,1.62,场内买入,场内卖出
2020-06-01,1.3602,1.3602,2.43,场内买入,场内卖出
2020-06-02,1.3365,1.3365,-1.74,场内买入,场内卖出
2020-06-03,1.3328,1.3328,-0.28,场内买入,场内卖出
2020-06-04,1.3707,1.3707,2.84,场内买入,场内卖出
2020-06-05,1.384,1.384,0.97,场内买入,场内卖出
2020-06-08,1.3868,1.3868,0.2,场内买入,场内卖出
2020-06-09,1.3991,1.3991,0.89,场内买入,场内卖出
2020-06-10,1.4066,1.4066,0.54,场内买入,场内卖出
2020-06-11,1.3803,1.3803,-1.87,场内买入,场内卖出
2020-06-12,1.3871,1.3871,0.49,场内买入,场内卖出
2020-06-15,1.3564,1.3564,-2.21,场内买入,场内卖出
2020-06-16,1.3854,1.3854,2.14,场内买入,场内卖出
2020-06-17,1.3692,1.3692,-1.17,场内买入,场内卖出
2020-06-18,1.3712,1.3712,0.15,场内买入,场内卖出
2020-06-19,1.4113,1.4113,2.92,场内买入,场内卖出
2020-06-22,1.4073,1.4073,-0.28,场内买入,场内卖出
2020-06-23,1.4575,1.4575,3.57,场内买入,场内卖出
2020-06-24,1.453,1.453,-0.31,场内买入,场内卖出
2020-06-29,1.4627,1.4627,0.67,场内买入,场内卖出
2020-06-30,1.4995,1.4995,2.52,场内买入,场内卖出
2020-07-01,1.579,1.579,5.3,场内买入,场内卖出
2020-07-02,1.6115,1.6115,2.06,场内买入,场内卖出
2020-07-03,1.5878,1.5878,-1.47,场内买入,场内卖出
2020-07-06,1.6235,1.6235,2.25,场内买入,场内卖出
2020-07-07,1.6732,1.6732,3.06,场内买入,场内卖出
2020-07-08,1.6746,1.6746,0.08,场内买入,场内卖出
2020-07-09,1.6996,1.6996,1.49,场内买入,场内卖出
2020-07-10,1.7254,1.7254,1.52,场内买入,场内卖出
2020-07-13,1.8047,1.8047,4.6,场内买入,场内卖出
2020-07-14,1.8129,1.8129,0.45,场内买入,场内卖出
2020-07-15,1.8566,1.8566,2.41,场内买入,场内卖出
2020-07-16,1.6824,1.6824,-9.38,场内买入,场内卖出
2020-07-17,1.6882,1.6882,0.34,场内买入,场内卖出
2020-07-20,1.6709,1.6709,-1.02,场内买入,场内卖出
2020-07-21,1.7113,1.7113,2.42,场内买入,场内卖出
2020-07-22,1.7394,1.7394,1.64,场内买入,场内卖出
2020-07-23,1.7455,1.7455,0.35,场内买入,场内卖出
2020-07-24,1.6583,1.6583,-5.0,场内买入,场内卖出
2020-07-27,1.6725,1.6725,0.86,场内买入,场内卖出
2020-07-28,1.7183,1.7183,2.74,场内买入,场内卖出
2020-07-29,1.7323,1.7323,0.81,场内买入,场内卖出
2020-07-30,1.7429,1.7429,0.61,场内买入,场内卖出
2020-07-31,1.7429,1.7429,0.0,场内买入,场内卖出
2020-08-03,1.7508,1.7508,0.45,场内买入,场内卖出
2020-08-04,1.7407,1.7407,-0.58,场内买入,场内卖出
2020-08-05,1.7459,1.7459,0.3,场内买入,场内卖出
2020-08-06,1.7006,1.7006,-2.59,场内买入,场内卖出
2020-08-07,1.678,1.678,-1.33,场内买入,场内卖出
2020-08-10,1.6806,1.6806,0.15,场内买入,场内卖出
2020-08-11,1.6911,1.6911,0.62,场内买入,场内卖出
2020-08-12,1.6585,1.6585,-1.93,场内买入,场内卖出
2020-08-13,1.6715,1.6715,0.78,场内买入,场内卖出
2020-08-14,1.7259,1.7259,3.25,场内买入,场内卖出
2020-08-17,1.7684,1.7684,2.46,场内买入,场内卖出
2020-08-18,1.7914,1.7914,1.3,场内买入,场内卖出
2020-08-19,1.7925,1.7925,0.06,场内买入,场内卖出
2020-08-20,1.751,1.751,-2.32,场内买入,场内卖出
2020-08-21,1.7839,1.7839,1.88,场内买入,场内卖出
2020-08-24,1.8251,1.8251,2.31,场内买入,场内卖出
2020-08-25,1.8859,1.8859,3.33,场内买入,场内卖出
2020-08-26,1.8833,1.8833,-0.14,场内买入,场内卖出
2020-08-27,1.9125,1.9125,1.55,场内买入,场内卖出
2020-08-28,1.9864,1.9864,3.86,场内买入,场内卖出
2020-08-31,1.9954,1.9954,0.45,场内买入,场内卖出
2020-09-01,1.9737,1.9737,-1.09,场内买入,场内卖出
2020-09-02,1.9558,1.9558,-0.91,场内买入,场内卖出
2020-09-03,1.9896,1.9896,1.73,场内买入,场内卖出
2020-09-04,1.9423,1.9423,-2.38,场内买入,场内卖出
2020-09-07,1.8973,1.8973,-2.32,场内买入,场内卖出
2020-09-08,1.8522,1.8522,-2.38,场内买入,场内卖出
2020-09-09,1.81,1.81,-2.28,场内买入,场内卖出
2020-09-10,1.8355,1.8355,1.41,场内买入,场内卖出
2020-09-11,1.8905,1.8905,3.0,场内买入,场内卖出
2020-09-14,1.9174,1.9174,1.42,场内买入,场内卖出
2020-09-15,1.9177,1.9177,0.02,场内买入,场内卖出
2020-09-16,1.8894,1.8894,-1.48,场内买入,场内卖出
2020-09-17,1.8434,1.8434,-2.43,场内买入,场内卖出
2020-09-18,1.868,1.868,1.33,场内买入,场内卖出
2020-09-21,1.8406,1.8406,-1.47,场内买入,场内卖出
2020-09-22,1.8269,1.8269,-0.74,场内买入,场内卖出
2020-09-23,1.8216,1.8216,-0.29,场内买入,场内卖出
2020-09-24,1.7896,1.7896,-1.76,场内买入,场内卖出
2020-09-25,1.7946,1.7946,0.28,场内买入,场内卖出
2020-09-28,1.8122,1.8122,0.98,场内买入,场内卖出
2020-09-29,1.8111,1.8111,-0.06,场内买入,场内卖出
2020-09-30,1.8246,1.8246,0.75,场内买入,场内卖出
2020-10-09,1.8463,1.8463,1.19,场内买入,场内卖出
2020-10-12,1.9326,1.9326,4.67,场内买入,场内卖出
2020-10-13,1.9584,1.9584,1.33,场内买入,场内卖出
2020-10-14,1.9512,1.9512,-0.37,场内买入,场内卖出
2020-10-15,1.952,1.952,0.04,场内买入,场内卖出
2020-10-16,1.9286,1.9286,-1.2,场内买入,场内卖出
2020-10-19,1.9082,1.9082,-1.06,场内买入,场内卖出
2020-10-20,1.9678,1.9678,3.12,场内买入,场内卖出
2020-10-21,1.972,1.972,0.21,场内买入,场内卖出
2020-10-22,2.0023,2.0023,1.54,场内买入,场内卖出
2020-10-23,1.964,1.964,-1.91,场内买入,场内卖出
2020-10-26,1.9404,1.9404,-1.2,场内买入,场内卖出
